NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,year
Pennsylvania,12794885.0,40.9,39.3,42.5,10155004.0,1419582.0,20798.0,449320.0,971813.0,63627.0,35518.0,1480430.0,6566126.0,6558087.0,6206839.0,351248.0,187500.0,958.0,5106601.0,606744.0,1754311.0,821652.0,189449.0,141105.0,6085959.0,315578.0,12590644.0,6134604.0,432275.0,5106601.0,3254545.0,1852056.0,42,2020-12-31
California,39346023.0,36.7,35.6,37.9,22053721.0,2250962.0,311629.0,5834312.0,15380929.0,78672.0,38576.0,4853434.0,20016955.0,19875973.0,18646894.0,1229079.0,538500.0,1586.0,13103114.0,1107831.0,5764827.0,2377177.0,667830.0,447039.0,18239892.0,843498.0,38838726.0,19165001.0,1472215.0,13103114.0,8986666.0,4116448.0,06,2020-12-31
West Virginia,1807426.0,42.7,41.3,44.1,1672255.0,64285.0,3146.0,14228.0,28679.0,48037.0,27346.0,300152.0,798208.0,796303.0,744272.0,52031.0,123200.0,732.0,734235.0,159380.0,163598.0,80602.0,16386.0,12839.0,730395.0,6085.0,1778080.0,874482.0,58572.0,734235.0,470391.0,263844.0,54,2020-12-31
Utah,3151239.0,31.1,30.4,31.8,2682881.0,38059.0,33222.0,73190.0,446067.0,74197.0,30986.0,283360.0,1600462.0,1595452.0,1537623.0,57829.0,305400.0,1090.0,1003345.0,107024.0,429936.0,156361.0,34092.0,27681.0,1517044.0,33830.0,3124563.0,1567173.0,153120.0,1003345.0,746286.0,257059.0,49,2020-12-31
New York,19514849.0,39.0,37.5,40.5,12160045.0,3002401.0,76535.0,1674216.0,3720707.0,71117.0,40898.0,2581048.0,10032721.0,10009209.0,9438639.0,570570.0,325000.0,1315.0,7417224.0,945747.0,2854930.0,1625827.0,414019.0,218016.0,9219025.0,2418334.0,19276809.0,9316535.0,694043.0,7417224.0,4670153.0,2747071.0,36,2020-12-31
District of Columbia,701974.0,34.1,34.0,34.2,288306.0,318631.0,2438.0,28762.0,77981.0,90842.0,58659.0,103391.0,414396.0,411398.0,382108.0,29290.0,618100.0,1607.0,288307.0,30885.0,126808.0,106879.0,45699.0,20589.0,379090.0,119569.0,692059.0,325614.0,27155.0,288307.0,123496.0,164811.0,11,2020-12-31
Alaska,736990.0,34.6,34.1,35.2,466961.0,23894.0,107298.0,47289.0,53059.0,77790.0,37094.0,74369.0,386787.0,367921.0,341492.0,26429.0,275600.0,1240.0,255173.0,63197.0,90161.0,39156.0,9592.0,6058.0,351387.0,4247.0,711104.0,363027.0,31600.0,255173.0,167815.0,87358.0,02,2020-12-31
Florida,21216924.0,42.2,40.6,43.8,15199588.0,3381061.0,55655.0,590668.0,5468826.0,57703.0,32848.0,2772939.0,10308068.0,10240825.0,9684712.0,556113.0,232000.0,1218.0,7931313.0,1631011.0,2938593.0,1196501.0,344287.0,180565.0,9559753.0,154580.0,20897188.0,10131676.0,688857.0,7931313.0,5118059.0,2813254.0,12,2020-12-31
South Carolina,5091517.0,39.7,38.0,41.1,3386329.0,1346560.0,16951.0,83573.0,296897.0,54864.0,30727.0,726470.0,2484102.0,2448315.0,2312831.0,135484.0,170100.0,918.0,1961481.0,357631.0,638394.0,278486.0,58956.0,42470.0,2304196.0,11723.0,4990992.0,2393044.0,177802.0,1961481.0,1280623.0,680858.0,45,2020-12-31
North Dakota,760394.0,35.2,34.3,36.3,651470.0,23959.0,39165.0,11979.0,30325.0,65315.0,36289.0,77491.0,421736.0,414440.0,401579.0,12861.0,199900.0,828.0,320873.0,55724.0,109962.0,30854.0,6835.0,5002.0,401160.0,2125.0,743105.0,378142.0,32877.0,320873.0,189465.0,131408.0,38,2020-12-31
