NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,year
Mississippi,2988762.0,37.2,35.6,38.6,1751193.0,1125834.0,13689.0,28313.0,90493.0,43567.0,23434.0,599795.0,1349340.0,1338573.0,1228537.0,110036.0,114500.0,762.0,1105576.0,210532.0,266274.0,116055.0,27736.0,19112.0,1215697.0,3393.0,2922647.0,1399224.0,114525.0,1105576.0,740268.0,365308.0,28,2018-12-31
Missouri,6090062.0,38.5,37.1,40.0,5008342.0,704896.0,26952.0,116720.0,249105.0,53560.0,29537.0,837930.0,3062496.0,3044052.0,2888094.0,155958.0,151600.0,809.0,2396271.0,379364.0,729543.0,329182.0,72419.0,49939.0,2855663.0,40311.0,5976738.0,2913804.0,228130.0,2396271.0,1540575.0,855696.0,29,2018-12-31
Montana,1041732.0,39.8,38.7,40.9,925642.0,4630.0,67289.0,7947.0,39019.0,52559.0,29765.0,139063.0,532854.0,529682.0,507249.0,22433.0,219600.0,783.0,423240.0,82445.0,148624.0,52011.0,13166.0,9069.0,499849.0,3852.0,1026586.0,514183.0,38589.0,423240.0,260229.0,163011.0,30,2018-12-31
Nebraska,1904760.0,36.4,35.4,37.4,1666463.0,90860.0,17282.0,44105.0,203281.0,59116.0,31101.0,213790.0,1035610.0,1030381.0,993836.0,36545.0,147800.0,805.0,754063.0,76686.0,258291.0,92723.0,21949.0,16253.0,980914.0,6531.0,1875468.0,932067.0,81044.0,754063.0,484034.0,270029.0,31,2018-12-31
Nevada,2922849.0,37.9,37.2,38.5,1935103.0,261123.0,35845.0,234693.0,831597.0,57598.0,29961.0,393431.0,1480282.0,1472351.0,1370603.0,101748.0,242400.0,1060.0,1075930.0,159166.0,317510.0,116743.0,32676.0,18419.0,1351950.0,46574.0,2887475.0,1439031.0,112395.0,1075930.0,683185.0,392745.0,32,2018-12-31
New Hampshire,1343622.0,42.7,41.5,44.0,1250014.0,20516.0,2090.0,36124.0,48356.0,74057.0,38548.0,102352.0,756239.0,754409.0,724017.0,30392.0,252800.0,1077.0,528078.0,102877.0,213277.0,101226.0,19032.0,13890.0,707037.0,5806.0,1326243.0,654437.0,40199.0,528078.0,348905.0,179173.0,33,2018-12-31
New Jersey,8881845.0,39.8,38.2,41.4,6031747.0,1196764.0,18649.0,832403.0,1768020.0,79363.0,40895.0,904132.0,4684112.0,4675686.0,4390602.0,285084.0,327900.0,1295.0,3213362.0,392039.0,1457910.0,671274.0,158342.0,96530.0,4303118.0,494549.0,8776839.0,4265444.0,319693.0,3213362.0,2222368.0,990994.0,34,2018-12-31
New Mexico,2092434.0,37.5,36.1,39.1,1558886.0,43006.0,199896.0,31513.0,1015751.0,48059.0,26085.0,410389.0,960566.0,951105.0,882735.0,68370.0,166800.0,828.0,775651.0,157167.0,213129.0,116002.0,23589.0,25476.0,880271.0,10139.0,2057526.0,1008154.0,78659.0,775651.0,492776.0,282875.0,35,2018-12-31
New York,19618453.0,38.7,37.1,40.2,12514949.0,3068099.0,79644.0,1630341.0,3705588.0,65323.0,37470.0,2797985.0,10070138.0,10047659.0,9445023.0,602636.0,302200.0,1240.0,7316537.0,970550.0,2748577.0,1541679.0,390755.0,207127.0,9246571.0,2591512.0,19378618.0,9362892.0,709816.0,7316537.0,4634204.0,2682333.0,36,2018-12-31
North Carolina,10155624.0,38.6,37.1,40.1,6994240.0,2179622.0,121352.0,282264.0,935950.0,52413.0,29456.0,1523949.0,5071505.0,4978432.0,4665822.0,312610.0,165900.0,877.0,3918597.0,654469.0,1345846.0,543580.0,116857.0,92923.0,4660377.0,47381.0,9952031.0,4786233.0,368715.0,3918597.0,2573526.0,1345071.0,37,2018-12-31
