NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,year
Mississippi,2989192.0,36.7,35.2,38.2,1764038.0,1121327.0,13072.0,28562.0,86704.0,40528.0,21651.0,645553.0,1351797.0,1341490.0,1212650.0,128840.0,105700.0,723.0,1098803.0,196439.0,255615.0,110498.0,25455.0,18323.0,1198881.0,4572.0,2923887.0,1400323.0,117245.0,1098803.0,746858.0,351945.0,28,2016-12-31
Missouri,6059651.0,38.3,36.8,39.7,5000875.0,701896.0,25641.0,107953.0,237284.0,49593.0,27044.0,897755.0,3055025.0,3035326.0,2835183.0,200143.0,141200.0,759.0,2372362.0,366412.0,701863.0,308835.0,68040.0,46927.0,2803637.0,41741.0,5946094.0,2898576.0,230145.0,2372362.0,1529363.0,842999.0,29,2016-12-31
Montana,1023391.0,39.8,38.7,40.9,911907.0,4260.0,67222.0,7481.0,34841.0,48380.0,27309.0,148677.0,523599.0,520124.0,490742.0,29382.0,199700.0,732.0,412653.0,78786.0,140945.0,47154.0,12665.0,8308.0,483881.0,4064.0,1007946.0,503952.0,38546.0,412653.0,256737.0,155916.0,30,2016-12-31
Nebraska,1881259.0,36.2,35.1,37.5,1655708.0,88388.0,15739.0,39794.0,191802.0,54384.0,28596.0,227021.0,1024737.0,1019897.0,977353.0,42544.0,137300.0,745.0,741581.0,73425.0,245288.0,85582.0,21322.0,14591.0,964953.0,6754.0,1852809.0,918822.0,80277.0,741581.0,478683.0,262898.0,31,2016-12-31
Nevada,2839172.0,37.5,36.8,38.1,1933057.0,243552.0,31927.0,222612.0,790497.0,53094.0,27253.0,417257.0,1443621.0,1435687.0,1302162.0,133525.0,191600.0,984.0,1030701.0,169816.0,293579.0,105755.0,29702.0,16525.0,1285431.0,46227.0,2804116.0,1398165.0,112024.0,1030701.0,658692.0,372009.0,32,2016-12-31
New Hampshire,1327503.0,42.4,41.3,43.5,1243594.0,17483.0,2085.0,32094.0,43500.0,68485.0,35264.0,109690.0,746203.0,744528.0,706801.0,37727.0,239700.0,1021.0,521373.0,99356.0,206061.0,94043.0,17204.0,13368.0,689995.0,5966.0,1310949.0,646708.0,40577.0,521373.0,346476.0,174897.0,33,2016-12-31
New Jersey,8915456.0,39.5,37.9,41.0,6075710.0,1207221.0,18470.0,819208.0,1719831.0,73702.0,37538.0,949341.0,4699613.0,4691489.0,4322619.0,368870.0,316400.0,1213.0,3195014.0,391428.0,1411979.0,635445.0,150681.0,91936.0,4233592.0,474568.0,8807899.0,4278947.0,325199.0,3195014.0,2213123.0,981891.0,34,2016-12-31
New Mexico,2082669.0,37.2,35.7,38.7,1530636.0,41957.0,193295.0,29168.0,995831.0,45674.0,24459.0,426814.0,966377.0,957385.0,876210.0,81175.0,161600.0,792.0,762551.0,149894.0,206247.0,113426.0,21909.0,24656.0,872080.0,10234.0,2048093.0,1004199.0,82881.0,762551.0,490155.0,272396.0,35,2016-12-31
New York,19697457.0,38.2,36.6,39.8,12667413.0,3073278.0,75751.0,1599216.0,3661929.0,60741.0,34212.0,2967564.0,10123078.0,10100102.0,9340878.0,759224.0,286300.0,1159.0,7266187.0,925381.0,2654203.0,1465968.0,372231.0,199044.0,9147894.0,2564874.0,19453583.0,9397606.0,716312.0,7266187.0,4611982.0,2654205.0,36,2016-12-31
North Carolina,9940828.0,38.3,36.8,39.7,6882915.0,2137131.0,117479.0,254550.0,884763.0,48256.0,26779.0,1631704.0,4948265.0,4865408.0,4460824.0,404584.0,157100.0,816.0,3815392.0,638375.0,1255557.0,492734.0,104995.0,87149.0,4448095.0,48349.0,9745671.0,4684967.0,372154.0,3815392.0,2515338.0,1300054.0,37,2016-12-31
North Dakota,736162.0,35.2,34.1,36.5,649730.0,14761.0,38369.0,9296.0,22997.0,59114.0,33107.0,79314.0,412931.0,406834.0,395584.0,11250.0,164000.0,736.0,305163.0,44971.0,97890.0,25032.0,6372.0,5260.0,393855.0,1897.0,720312.0,367001.0,31241.0,305163.0,183466.0,121697.0,38,2016-12-31
Ohio,11586941.0,39.3,37.8,40.8,9519506.0,1421943.0,21459.0,224520.0,400932.0,50674.0,27800.0,1732839.0,5857720.0,5849603.0,5425647.0,423956.0,131900.0,743.0,4601449.0,545495.0,1310995.0,571298.0,126124.0,84458.0,5320795.0,88275.0,11413979.0,5566625.0,429436.0,4601449.0,2940153.0,1661296.0,39,2016-12-31
