NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,county,year
"Autauga County, Alabama",58761.0,39.0,37.8,40.8,43747.0,11496.0,59.0,658.0,1864.0,68315.0,35332.0,6630.0,28106.0,27163.0,26411.0,752.0,191800.0,1199.0,22308.0,2149.0,6726.0,4014.0,702.0,437.0,27031.0,152.0,57443.0,27638.0,2129.0,22308.0,15363.0,6945.0,01,001,2022-12-31
"Baldwin County, Alabama",233420.0,43.7,42.1,45.0,195998.0,19445.0,848.0,2046.0,11210.0,71039.0,38907.0,23445.0,111766.0,111079.0,107254.0,3825.0,266000.0,1160.0,90802.0,34311.0,33474.0,15077.0,3483.0,2351.0,105865.0,98.0,230074.0,111343.0,7748.0,90802.0,61277.0,29525.0,01,003,2022-12-31
"Barbour County, Alabama",24877.0,40.6,39.1,42.6,11309.0,11668.0,74.0,126.0,1202.0,39712.0,23378.0,5280.0,8968.0,8968.0,8452.0,516.0,102700.0,627.0,9016.0,2657.0,1167.0,640.0,188.0,105.0,8341.0,11.0,21892.0,10122.0,779.0,9016.0,5722.0,3294.0,01,005,2022-12-31
"Bibb County, Alabama",22251.0,40.3,39.8,42.3,16872.0,4603.0,21.0,69.0,650.0,50669.0,24966.0,4297.0,9028.0,9028.0,8242.0,786.0,120100.0,765.0,7216.0,1830.0,1047.0,507.0,109.0,76.0,8064.0,0.0,20850.0,10614.0,707.0,7216.0,4871.0,2345.0,01,007,2022-12-31
"Blount County, Alabama",59077.0,40.8,39.3,42.2,53941.0,729.0,227.0,100.0,5721.0,57440.0,29053.0,8277.0,26459.0,26434.0,24856.0,1578.0,159800.0,734.0,21626.0,3051.0,3840.0,1751.0,270.0,156.0,24402.0,0.0,58587.0,29619.0,2038.0,21626.0,15416.0,6210.0,01,009,2022-12-31
"Bullock County, Alabama",10328.0,39.2,40.3,38.0,2397.0,7117.0,0.0,43.0,907.0,36136.0,22115.0,2687.0,3888.0,3888.0,3744.0,144.0,87700.0,619.0,3450.0,1091.0,492.0,93.0,53.0,33.0,3679.0,0.0,9640.0,4950.0,312.0,3450.0,2248.0,1202.0,01,011,2022-12-31
"Butler County, Alabama",18981.0,41.6,39.3,43.9,9777.0,8462.0,69.0,243.0,322.0,44429.0,26334.0,3937.0,8047.0,8043.0,7495.0,548.0,94800.0,720.0,7131.0,2704.0,1029.0,542.0,139.0,21.0,7394.0,17.0,18686.0,8779.0,641.0,7131.0,4620.0,2511.0,01,013,2022-12-31
"Calhoun County, Alabama",116162.0,39.2,38.1,40.7,83306.0,25631.0,258.0,765.0,4736.0,54339.0,28227.0,20267.0,53521.0,53147.0,49455.0,3692.0,140500.0,806.0,44693.0,8474.0,9098.0,4121.0,888.0,1011.0,48898.0,286.0,114576.0,55367.0,3898.0,44693.0,28213.0,16480.0,01,015,2022-12-31
"Chambers County, Alabama",34612.0,42.2,40.2,43.4,19642.0,14114.0,21.0,60.0,1129.0,48805.0,27006.0,6080.0,15691.0,15631.0,15072.0,559.0,116900.0,842.0,13143.0,3284.0,2273.0,737.0,81.0,55.0,14660.0,68.0,34130.0,16196.0,1244.0,13143.0,8880.0,4263.0,01,017,2022-12-31
"Cherokee County, Alabama",25069.0,46.8,45.8,47.8,22884.0,1008.0,120.0,27.0,479.0,46621.0,28422.0,3516.0,10713.0,10713.0,10288.0,425.0,158700.0,700.0,9997.0,4690.0,1530.0,832.0,240.0,101.0,10079.0,72.0,24779.0,12147.0,685.0,9997.0,6609.0,3388.0,01,019,2022-12-31
