NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,county,year
"St. Clair County, Alabama",87989.0,40.3,39.2,41.8,76774.0,8447.0,351.0,745.0,2133.0,58308.0,26409.0,10484.0,40704.0,40678.0,38507.0,2171.0,154900.0,819.0,32036.0,4678.0,6512.0,2666.0,410.0,292.0,37911.0,87.0,85980.0,42134.0,3240.0,32036.0,23400.0,8636.0,01,115,2019-12-31
"Cullman County, Alabama",82853.0,40.8,39.8,42.2,78804.0,1073.0,234.0,314.0,3611.0,44918.0,23468.0,12133.0,36078.0,36063.0,34228.0,1835.0,128600.0,706.0,31034.0,6808.0,5121.0,2251.0,464.0,168.0,33790.0,22.0,81979.0,40205.0,2917.0,31034.0,21574.0,9460.0,01,043,2019-12-31
"Houston County, Alabama",104702.0,40.1,38.0,41.8,72344.0,28157.0,271.0,930.0,3479.0,47580.0,27097.0,18885.0,47603.0,47417.0,44374.0,3043.0,137600.0,754.0,39311.0,8146.0,9682.0,4385.0,1120.0,485.0,43855.0,19.0,103775.0,49554.0,3941.0,39311.0,25747.0,13564.0,01,069,2019-12-31
"Tuscaloosa County, Alabama",207305.0,33.0,31.7,34.3,133130.0,66307.0,448.0,3341.0,7702.0,53326.0,26789.0,34749.0,99565.0,99449.0,93667.0,5782.0,170400.0,846.0,72461.0,18096.0,23726.0,10933.0,2038.0,2963.0,92277.0,497.0,205775.0,99094.0,7541.0,72461.0,46967.0,25494.0,01,125,2019-12-31
"Coffee County, Alabama",51662.0,39.3,38.1,40.5,39118.0,8733.0,640.0,745.0,3763.0,55637.0,27806.0,7670.0,24317.0,23241.0,21907.0,1334.0,147400.0,803.0,19924.0,3264.0,5394.0,2200.0,252.0,198.0,22345.0,4.0,50029.0,24137.0,1914.0,19924.0,13747.0,6177.0,01,031,2019-12-31
"Chilton County, Alabama",44055.0,38.7,38.1,39.9,36835.0,4041.0,361.0,195.0,3457.0,47468.0,24658.0,8302.0,18726.0,18726.0,17526.0,1200.0,107300.0,726.0,16927.0,2854.0,2440.0,1056.0,237.0,90.0,17263.0,0.0,43726.0,21247.0,1666.0,16927.0,11908.0,5019.0,01,021,2019-12-31
"Coosa County, Alabama",10757.0,48.4,46.7,49.8,7078.0,3615.0,9.0,0.0,109.0,38990.0,23694.0,1399.0,4355.0,4326.0,4202.0,124.0,84000.0,589.0,4032.0,2553.0,709.0,289.0,48.0,13.0,4075.0,0.0,10348.0,5113.0,212.0,4032.0,2657.0,1375.0,01,037,2019-12-31
"Etowah County, Alabama",102748.0,41.4,39.9,43.0,82027.0,16330.0,581.0,764.0,3982.0,44637.0,24883.0,17625.0,45161.0,45149.0,42650.0,2499.0,113700.0,669.0,38942.0,8762.0,7899.0,3444.0,968.0,504.0,41552.0,37.0,101958.0,49189.0,3425.0,38942.0,25852.0,13090.0,01,055,2019-12-31
"Lamar County, Alabama",13885.0,44.8,44.2,46.1,12154.0,1479.0,3.0,17.0,229.0,38364.0,22636.0,2827.0,5755.0,5753.0,5244.0,509.0,80900.0,425.0,5856.0,1547.0,818.0,279.0,54.0,23.0,5191.0,35.0,13720.0,6685.0,459.0,5856.0,3895.0,1961.0,01,075,2019-12-31
"Butler County, Alabama",19828.0,40.8,39.1,42.7,10280.0,9001.0,11.0,69.0,277.0,40688.0,21038.0,4397.0,8520.0,8509.0,7930.0,579.0,95900.0,620.0,6506.0,3583.0,1343.0,726.0,121.0,40.0,7820.0,12.0,19538.0,8923.0,620.0,6506.0,4331.0,2175.0,01,013,2019-12-31
