NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,county,year
"Lewis County, Washington",75515.0,42.8,42.2,43.4,69281.0,591.0,460.0,877.0,7152.0,44100.0,22480.0,12126.0,33393.0,33335.0,29297.0,4038.0,174000.0,801.0,29515.0,4595.0,4888.0,2383.0,516.0,292.0,28440.0,297.0,74674.0,37211.0,2613.0,29515.0,19625.0,9890.0,53,041,2015-12-31
"Douglas County, Washington",39599.0,37.0,36.1,38.3,29041.0,135.0,441.0,294.0,11888.0,53636.0,23598.0,5835.0,19288.0,19288.0,18034.0,1254.0,209700.0,824.0,14212.0,1952.0,3308.0,824.0,170.0,183.0,17805.0,88.0,39468.0,19819.0,1767.0,14212.0,10878.0,3334.0,53,017,2015-12-31
"Island County, Washington",79329.0,44.0,41.5,47.0,67467.0,2337.0,803.0,3682.0,5275.0,58815.0,31836.0,7430.0,39223.0,34629.0,31525.0,3104.0,290900.0,1076.0,33125.0,7469.0,11656.0,4683.0,976.0,659.0,35036.0,973.0,74364.0,35584.0,2761.0,33125.0,22371.0,10754.0,53,029,2015-12-31
"Pierce County, Washington",821952.0,35.8,34.7,37.0,614242.0,55160.0,9575.0,49658.0,81898.0,59953.0,28824.0,102233.0,418711.0,402348.0,365152.0,37196.0,232600.0,1029.0,303586.0,27783.0,87636.0,33495.0,7869.0,4778.0,372850.0,12661.0,799506.0,391462.0,34621.0,303586.0,202396.0,101190.0,53,053,2015-12-31
"Franklin County, Washington",86443.0,29.1,29.5,28.8,60363.0,1779.0,366.0,1826.0,44516.0,56980.0,20412.0,15406.0,39135.0,39079.0,36259.0,2820.0,166800.0,807.0,24725.0,1304.0,5145.0,2008.0,316.0,310.0,35819.0,265.0,84275.0,42977.0,5453.0,24725.0,19097.0,5628.0,53,021,2015-12-31
"Walla Walla County, Washington",59726.0,36.9,35.5,39.1,51507.0,985.0,535.0,966.0,12528.0,47946.0,23520.0,9535.0,27930.0,27911.0,26112.0,1799.0,192400.0,739.0,21696.0,2072.0,6327.0,3007.0,682.0,489.0,25667.0,176.0,56365.0,27424.0,2157.0,21696.0,13688.0,8008.0,53,071,2015-12-31
"Whatcom County, Washington",207100.0,36.5,35.6,37.5,177009.0,1824.0,5956.0,8129.0,18030.0,53145.0,27223.0,32328.0,107417.0,107074.0,98265.0,8809.0,274700.0,925.0,79767.0,12144.0,28685.0,10077.0,2574.0,2354.0,96906.0,2753.0,205396.0,101521.0,6960.0,79767.0,49259.0,30508.0,53,073,2015-12-31
"Thurston County, Washington",262723.0,38.5,37.1,39.9,216973.0,7461.0,3948.0,15332.0,21174.0,61677.0,29741.0,32101.0,134175.0,130204.0,119123.0,11081.0,239400.0,1054.0,102631.0,8273.0,36521.0,16981.0,4539.0,2106.0,120564.0,2306.0,256560.0,123968.0,10143.0,102631.0,68238.0,34393.0,53,067,2015-12-31
"Columbia County, Washington",3989.0,49.5,47.7,50.9,3660.0,14.0,21.0,22.0,255.0,38581.0,24400.0,690.0,1737.0,1737.0,1557.0,180.0,154800.0,721.0,1686.0,440.0,482.0,131.0,18.0,48.0,1541.0,31.0,3929.0,1953.0,122.0,1686.0,1082.0,604.0,53,013,2015-12-31
"Summers County, West Virginia",13544.0,46.3,46.9,46.0,12602.0,686.0,45.0,20.0,243.0,36651.0,20347.0,2184.0,5396.0,5396.0,4857.0,539.0,89200.0,561.0,5584.0,2094.0,787.0,500.0,75.0,41.0,4709.0,0.0,12443.0,6111.0,274.0,5584.0,3665.0,1919.0,54,089,2015-12-31
