NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,year
Alabama,4997675.0,39.3,38.0,40.5,3338590.0,1324233.0,21661.0,70161.0,224659.0,54943.0,30458.0,769819.0,2313616.0,2298013.0,2173597.0,124416.0,157100.0,852.0,1902983.0,375543.0,563628.0,251040.0,54076.0,41681.0,2146674.0,7097.0,4920010.0,2373205.0,181259.0,1902983.0,1239981.0,663002.0,01,2021-12-31
Alaska,735951.0,35.0,34.6,35.4,458520.0,23721.0,107531.0,47213.0,53604.0,80287.0,39236.0,75016.0,383795.0,363718.0,338664.0,25054.0,282800.0,1279.0,260561.0,63873.0,92691.0,39503.0,9969.0,6028.0,349920.0,4139.0,709438.0,362401.0,31415.0,260561.0,170981.0,89580.0,02,2021-12-31
Arizona,7079203.0,38.1,37.0,39.3,4985729.0,318827.0,300862.0,234495.0,2257429.0,65913.0,34644.0,934911.0,3424193.0,3401906.0,3210791.0,191115.0,265600.0,1172.0,2683557.0,373333.0,923339.0,413353.0,92301.0,66423.0,3174911.0,44037.0,6976512.0,3448100.0,253256.0,2683557.0,1747769.0,935788.0,04,2021-12-31
Arkansas,3006309.0,38.3,37.2,39.5,2227020.0,458086.0,17459.0,46388.0,236001.0,52123.0,29210.0,468113.0,1390373.0,1384596.0,1310863.0,73733.0,142100.0,803.0,1158460.0,203420.0,313527.0,129009.0,29370.0,19363.0,1295639.0,3748.0,2955770.0,1448406.0,115240.0,1158460.0,759077.0,399383.0,05,2021-12-31
California,39455353.0,37.0,36.0,38.0,20553732.0,2233258.0,360607.0,5887396.0,15593787.0,84097.0,41276.0,4741175.0,20129162.0,19980462.0,18676721.0,1303741.0,573200.0,1698.0,13217586.0,1110953.0,5855383.0,2449563.0,678258.0,468234.0,18283118.0,743816.0,38946377.0,19310591.0,1446299.0,13217586.0,9060746.0,4156840.0,06,2021-12-31
Colorado,5723176.0,37.1,36.4,37.9,4507448.0,234065.0,53143.0,183391.0,1254636.0,80184.0,42807.0,535976.0,3157660.0,3120868.0,2975830.0,145038.0,397500.0,1437.0,2227932.0,226941.0,1051023.0,465071.0,97490.0,72585.0,2959315.0,73763.0,5629512.0,2821966.0,199839.0,2227932.0,1408477.0,819455.0,08,2021-12-31
Connecticut,3605330.0,41.0,39.5,42.4,2595884.0,389290.0,8714.0,167308.0,610065.0,83572.0,47869.0,351476.0,1950007.0,1940626.0,1822995.0,117631.0,286700.0,1260.0,1397324.0,129715.0,561567.0,334219.0,79160.0,45020.0,1791786.0,68957.0,3556794.0,1736730.0,112449.0,1397324.0,910006.0,487318.0,09,2021-12-31
Delaware,981892.0,41.1,39.4,42.8,645409.0,215745.0,3064.0,39684.0,95278.0,72724.0,38917.0,109274.0,496804.0,492450.0,464457.0,27993.0,269700.0,1199.0,381097.0,64007.0,134252.0,71962.0,12917.0,13243.0,459571.0,9178.0,966239.0,465493.0,33265.0,381097.0,248034.0,133063.0,10,2021-12-31
District of Columbia,683154.0,34.3,34.3,34.4,276373.0,305109.0,1984.0,27988.0,76982.0,93547.0,63793.0,100618.0,405651.0,402460.0,373967.0,28493.0,635900.0,1681.0,310104.0,34202.0,124285.0,106838.0,47536.0,20810.0,371014.0,100595.0,673717.0,318165.0,25529.0,310104.0,131196.0,178908.0,11,2021-12-31
Florida,21339762.0,42.3,40.9,43.6,14449017.0,3358469.0,54466.0,596862.0,5593090.0,61777.0,35216.0,2744612.0,10448290.0,10377036.0,9824911.0,552125.0,248700.0,1301.0,8157420.0,1607477.0,3038293.0,1253271.0,356975.0,191417.0,9698180.0,135556.0,21027201.0,10250191.0,683908.0,8157420.0,5274491.0,2882929.0,12,2021-12-31
