NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,county,year
"Monroe County, Alabama",21975.0,41.5,39.7,42.9,12065.0,9405.0,251.0,50.0,136.0,28182.0,16556.0,6972.0,8281.0,8281.0,6473.0,1808.0,87700.0,506.0,8316.0,2959.0,1158.0,505.0,57.0,126.0,6424.0,18.0,21750.0,10428.0,843.0,8316.0,5157.0,3159.0,01,099,2016-12-31
"Lawrence County, Alabama",33433.0,42.2,41.4,42.7,26108.0,3800.0,1653.0,31.0,691.0,42339.0,21911.0,6050.0,13770.0,13770.0,12625.0,1145.0,97600.0,557.0,13321.0,1860.0,1700.0,619.0,73.0,23.0,12429.0,34.0,33206.0,16148.0,1180.0,13321.0,9456.0,3865.0,01,079,2016-12-31
"Lee County, Alabama",153947.0,30.5,29.3,31.8,107682.0,35770.0,203.0,5576.0,5681.0,45056.0,24951.0,34085.0,76233.0,75430.0,70851.0,4579.0,156400.0,806.0,57901.0,7800.0,17732.0,8781.0,1497.0,2995.0,70201.0,599.0,152225.0,74686.0,5609.0,57901.0,36318.0,21583.0,01,081,2016-12-31
"Marion County, Alabama",30239.0,43.9,42.6,45.0,28242.0,1012.0,115.0,98.0,726.0,34074.0,20998.0,5509.0,12759.0,12722.0,11749.0,973.0,85500.0,482.0,12486.0,2216.0,1713.0,816.0,123.0,33.0,11521.0,5.0,29669.0,14564.0,975.0,12486.0,8932.0,3554.0,01,093,2016-12-31
"Pickens County, Alabama",20042.0,42.2,40.9,44.3,11254.0,8387.0,24.0,12.0,486.0,31679.0,19188.0,4575.0,7854.0,7854.0,6886.0,968.0,89100.0,420.0,7618.0,1831.0,1105.0,354.0,60.0,47.0,6728.0,32.0,19132.0,9789.0,607.0,7618.0,4800.0,2818.0,01,107,2016-12-31
"Sumter County, Alabama",13285.0,36.5,33.3,39.4,3280.0,9523.0,41.0,375.0,39.0,20428.0,13929.0,4582.0,5116.0,5113.0,4331.0,782.0,73400.0,589.0,4878.0,1889.0,907.0,464.0,61.0,68.0,4199.0,20.0,13155.0,6104.0,436.0,4878.0,2682.0,2196.0,01,119,2016-12-31
"Jefferson County, Alabama",659096.0,37.5,35.8,39.1,345499.0,280248.0,1467.0,9932.0,24316.0,47220.0,28162.0,116750.0,324499.0,324102.0,297470.0,26632.0,145700.0,820.0,261773.0,43489.0,84843.0,34094.0,13929.0,7388.0,292781.0,2634.0,651846.0,307582.0,26855.0,261773.0,165637.0,96136.0,01,073,2016-12-31
"Choctaw County, Alabama",13287.0,45.1,43.9,47.5,7495.0,5658.0,2.0,6.0,74.0,32622.0,20773.0,2743.0,4933.0,4933.0,4260.0,673.0,64600.0,497.0,5562.0,1679.0,740.0,296.0,81.0,13.0,4143.0,0.0,13159.0,6277.0,346.0,5562.0,3604.0,1958.0,01,023,2016-12-31
"Franklin County, Alabama",31573.0,39.1,36.5,41.0,28133.0,1427.0,313.0,102.0,5057.0,36138.0,18193.0,6951.0,13622.0,13621.0,12298.0,1323.0,87000.0,553.0,11697.0,2353.0,1660.0,702.0,131.0,100.0,12197.0,29.0,31322.0,15424.0,1216.0,11697.0,8111.0,3586.0,01,059,2016-12-31
"Marengo County, Alabama",20066.0,42.2,40.7,43.3,9167.0,10587.0,50.0,43.0,190.0,30713.0,20359.0,5504.0,7723.0,7723.0,6636.0,1087.0,87900.0,511.0,8149.0,2059.0,1414.0,455.0,90.0,64.0,6554.0,31.0,19852.0,9336.0,649.0,8149.0,4802.0,3347.0,01,091,2016-12-31
