NAME,B01001_001E,B01002_001E,B19013_001E,B19301_001E,B23025_002E,B23025_003E,B23025_004E,B25077_001E,B25064_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,state,county
"Henry County, Iowa",20436.0,40.4,62365.0,30151.0,10018.0,10016.0,9748.0,145200.0,727.0,2215.0,749.0,98.0,115.0,19,087
"Howard County, Iowa",9479.0,39.5,63947.0,32033.0,4792.0,4792.0,4722.0,125100.0,708.0,983.0,194.0,36.0,12.0,19,089
"Humboldt County, Iowa",9606.0,41.9,66617.0,35837.0,4840.0,4840.0,4717.0,134300.0,662.0,963.0,221.0,26.0,11.0,19,091
"Ida County, Iowa",6969.0,42.8,63125.0,35708.0,3603.0,3587.0,3515.0,108000.0,646.0,726.0,155.0,29.0,24.0,19,093
"Iowa County, Iowa",16575.0,42.2,69787.0,40182.0,8782.0,8760.0,8483.0,175600.0,732.0,1876.0,533.0,122.0,98.0,19,095
"Jackson County, Iowa",19470.0,44.4,69709.0,34739.0,9784.0,9784.0,9372.0,162100.0,726.0,1826.0,581.0,111.0,19.0,19,097
"Jasper County, Iowa",37808.0,41.0,67784.0,35346.0,19235.0,19184.0,18256.0,163800.0,812.0,3679.0,1070.0,253.0,247.0,19,099
"Jefferson County, Iowa",15785.0,44.2,52210.0,36111.0,8016.0,8016.0,7598.0,141500.0,838.0,2716.0,1557.0,298.0,177.0,19,101
"Johnson County, Iowa",153360.0,30.6,72977.0,42175.0,88329.0,88144.0,84763.0,277800.0,1086.0,26707.0,12688.0,4484.0,5189.0,19,103
"Jones County, Iowa",20733.0,43.4,68781.0,33996.0,10340.0,10322.0,10001.0,165200.0,693.0,2322.0,813.0,74.0,156.0,19,105
"Keokuk County, Iowa",10026.0,42.7,60016.0,32747.0,4806.0,4806.0,4631.0,105500.0,744.0,816.0,258.0,34.0,35.0,19,107
"Kossuth County, Iowa",14718.0,45.1,62553.0,34723.0,7331.0,7329.0,7052.0,118800.0,818.0,1513.0,401.0,98.0,66.0,19,109
"Lee County, Iowa",33442.0,43.5,58094.0,32465.0,15769.0,15743.0,15022.0,121000.0,782.0,3476.0,1032.0,215.0,130.0,19,111
"Linn County, Iowa",229308.0,38.2,75457.0,41446.0,126171.0,126128.0,121318.0,188800.0,878.0,36999.0,12544.0,3056.0,1319.0,19,113
"Louisa County, Iowa",10823.0,42.2,72500.0,33296.0,5636.0,5628.0,5380.0,125500.0,747.0,864.0,159.0,47.0,24.0,19,115
"Lucas County, Iowa",8666.0,42.9,63405.0,32575.0,4273.0,4273.0,4105.0,111000.0,773.0,651.0,192.0,43.0,17.0,19,117
"Lyon County, Iowa",12023.0,38.3,73735.0,33428.0,5999.0,5990.0,5845.0,190800.0,776.0,1174.0,184.0,84.0,59.0,19,119
"Madison County, Iowa",16609.0,40.9,88110.0,39442.0,9286.0,9265.0,9055.0,230500.0,932.0,2186.0,579.0,95.0,62.0,19,121
"Mahaska County, Iowa",22059.0,39.6,65200.0,33812.0,11485.0,11485.0,11101.0,135100.0,773.0,2462.0,640.0,127.0,65.0,19,123
"Marion County, Iowa",33487.0,39.8,74193.0,38168.0,17201.0,17165.0,16772.0,192300.0,845.0,4750.0,1650.0,369.0,289.0,19,125
"Marshall County, Iowa",40049.0,38.5,70828.0,31486.0,20712.0,20708.0,19554.0,125900.0,832.0,3938.0,1280.0,211.0,126.0,19,127
"Mills County, Iowa",14605.0,42.7,81907.0,40709.0,7233.0,7052.0,6743.0,225500.0,843.0,2116.0,681.0,185.0,95.0,19,129
"Mitchell County, Iowa",10537.0,41.8,66056.0,36006.0,5725.0,5725.0,5673.0,149200.0,720.0,1140.0,322.0,27.0,63.0,19,131
"Monona County, Iowa",8671.0,45.9,59897.0,33080.0,4264.0,4264.0,4152.0,108700.0,761.0,696.0,204.0,41.0,32.0,19,133
"Monroe County, Iowa",7574.0,41.5,76324.0,35392.0,3732.0,3732.0,3604.0,128000.0,723.0,962.0,170.0,27.0,20.0,19,135
"Montgomery County, Iowa",10285.0,43.3,61261.0,36122.0,4979.0,4979.0,4757.0,99300.0,718.0,975.0,276.0,63.0,29.0,19,137
"Muscatine County, Iowa",42968.0,38.6,67427.0,34055.0,22143.0,22043.0,21262.0,159000.0,936.0,4732.0,1441.0,249.0,297.0,19,139
"O'Brien County, Iowa",14138.0,40.4,65076.0,32460.0,7124.0,7121.0,6949.0,141900.0,691.0,1658.0,379.0,50.0,13.0,19,141
"Osceola County, Iowa",6149.0,44.0,67561.0,35657.0,3254.0,3246.0,3099.0,114800.0,801.0,431.0,119.0,43.0,27.0,19,143
"Page County, Iowa",15225.0,45.2,58264.0,32886.0,7311.0,7311.0,6832.0,112400.0,742.0,1381.0,403.0,137.0,85.0,19,145
"Palo Alto County, Iowa",8938.0,41.3,67306.0,33517.0,4663.0,4663.0,4493.0,117000.0,631.0,883.0,227.0,78.0,34.0,19,147
"Plymouth County, Iowa",25621.0,40.9,79963.0,40150.0,13920.0,13872.0,13579.0,199800.0,816.0,3099.0,772.0,227.0,67.0,19,149
"Pocahontas County, Iowa",7061.0,45.4,61434.0,33918.0,3542.0,3539.0,3316.0,90400.0,735.0,644.0,142.0,36.0,22.0,19,151
"Polk County, Iowa",493378.0,36.1,78827.0,41894.0,275129.0,274014.0,261682.0,232000.0,1060.0,87045.0,28694.0,7300.0,4806.0,19,153
"Pottawattamie County, Iowa",93543.0,39.7,68718.0,34701.0,47569.0,47502.0,45815.0,169400.0,956.0,10266.0,3477.0,759.0,406.0,19,155
"Poweshiek County, Iowa",18608.0,40.7,61192.0,37527.0,9661.0,9661.0,9220.0,173600.0,850.0,1983.0,976.0,233.0,320.0,19,157
"Ringgold County, Iowa",4690.0,43.8,67898.0,34138.0,2329.0,2315.0,2276.0,143100.0,699.0,508.0,158.0,27.0,33.0,19,159
"Sac County, Iowa",9778.0,45.2,68778.0,38596.0,5118.0,5118.0,4955.0,119500.0,622.0,1109.0,286.0,83.0,16.0,19,161
"Scott County, Iowa",174315.0,38.7,72792.0,40926.0,91173.0,90903.0,87296.0,198000.0,919.0,26358.0,11137.0,2331.0,1501.0,19,163
"Shelby County, Iowa",11737.0,45.5,70295.0,38664.0,6116.0,6114.0,5964.0,152900.0,879.0,1360.0,350.0,98.0,90.0,19,165
"Sioux County, Iowa",35815.0,34.4,81914.0,34914.0,19566.0,19533.0,19081.0,220700.0,795.0,4767.0,1373.0,346.0,191.0,19,167
"Story County, Iowa",98573.0,26.5,66197.0,35704.0,56477.0,56398.0,53259.0,229100.0,991.0,15589.0,6867.0,1197.0,3529.0,19,169
"Tama County, Iowa",17017.0,41.0,65483.0,33046.0,8557.0,8552.0,8165.0,129400.0,829.0,1490.0,463.0,107.0,65.0,19,171
"Taylor County, Iowa",5916.0,44.1,65926.0,33092.0,3049.0,3049.0,2951.0,104500.0,636.0,483.0,119.0,25.0,8.0,19,173
"Union County, Iowa",12107.0,40.0,56495.0,30966.0,5945.0,5945.0,5604.0,113800.0,712.0,1424.0,426.0,84.0,49.0,19,175
"Van Buren County, Iowa",7207.0,45.0,58417.0,32188.0,3216.0,3216.0,3060.0,107700.0,661.0,638.0,245.0,26.0,27.0,19,177
"Wapello County, Iowa",35292.0,39.4,56209.0,30025.0,17236.0,17223.0,16468.0,105800.0,909.0,2795.0,1185.0,345.0,122.0,19,179
"Warren County, Iowa",52709.0,38.5,89741.0,41279.0,28602.0,28512.0,27607.0,234300.0,943.0,7787.0,2491.0,540.0,401.0,19,181
"Washington County, Iowa",22534.0,40.1,71122.0,35451.0,12029.0,12013.0,11701.0,182400.0,849.0,2483.0,946.0,148.0,158.0,19,183
"Wayne County, Iowa",6484.0,41.9,58257.0,32524.0,2905.0,2905.0,2859.0,98700.0,627.0,486.0,137.0,26.0,4.0,19,185
"Webster County, Iowa",36986.0,39.8,65335.0,33836.0,18366.0,18333.0,17742.0,130400.0,747.0,3861.0,898.0,269.0,169.0,19,187
"Winnebago County, Iowa",10704.0,41.5,62853.0,34966.0,5638.0,5638.0,5495.0,121700.0,669.0,1413.0,340.0,77.0,33.0,19,189
"Winneshiek County, Iowa",20050.0,42.6,67770.0,37561.0,11185.0,11185.0,10955.0,225400.0,763.0,2629.0,836.0,319.0,317.0,19,191
"Woodbury County, Iowa",105526.0,35.9,68399.0,33080.0,55540.0,55409.0,52921.0,158000.0,913.0,10689.0,4149.0,796.0,530.0,19,193
"Worth County, Iowa",7417.0,43.9,69897.0,36585.0,4129.0,4129.0,3994.0,130600.0,685.0,732.0,215.0,73.0,21.0,19,195
"Wright County, Iowa",12897.0,41.5,58240.0,33964.0,5954.0,5954.0,5823.0,105400.0,731.0,1474.0,287.0,71.0,25.0,19,197
"Allen County, Kansas",12554.0,41.1,55059.0,27155.0,6119.0,6119.0,5674.0,95700.0,703.0,1053.0,562.0,27.0,33.0,20,001
"Anderson County, Kansas",7799.0,39.7,67651.0,29665.0,3649.0,3635.0,3514.0,141700.0,778.0,472.0,277.0,36.0,13.0,20,003
"Atchison County, Kansas",16309.0,36.1,55281.0,27644.0,8187.0,8187.0,7822.0,123400.0,771.0,1331.0,717.0,79.0,98.0,20,005
"Barber County, Kansas",4081.0,42.8,53774.0,32879.0,1984.0,1984.0,1936.0,83300.0,695.0,511.0,102.0,37.0,23.0,20,007
"Barton County, Kansas",25477.0,39.2,54634.0,31516.0,12941.0,12928.0,12396.0,113200.0,738.0,2657.0,845.0,207.0,54.0,20,009
"Bourbon County, Kansas",14405.0,38.1,55826.0,29328.0,6762.0,6757.0,6500.0,95600.0,774.0,1464.0,607.0,96.0,62.0,20,011
"Brown County, Kansas",9486.0,41.8,55876.0,29646.0,4717.0,4714.0,4506.0,108700.0,662.0,964.0,285.0,30.0,13.0,20,013
"Butler County, Kansas",67618.0,38.2,77724.0,35209.0,33068.0,32663.0,31636.0,181700.0,963.0,9268.0,4046.0,539.0,405.0,20,015
"Chase County, Kansas",2570.0,44.1,52481.0,32022.0,1180.0,1180.0,1166.0,108300.0,602.0,374.0,89.0,15.0,3.0,20,017
"Chautauqua County, Kansas",3389.0,45.9,51210.0,28267.0,1404.0,1404.0,1325.0,58400.0,740.0,278.0,88.0,15.0,10.0,20,019
"Cherokee County, Kansas",19380.0,42.4,53382.0,26832.0,8931.0,8913.0,8711.0,91800.0,743.0,1750.0,756.0,103.0,46.0,20,021
"Cheyenne County, Kansas",2619.0,43.0,52730.0,34829.0,1310.0,1307.0,1284.0,114700.0,673.0,327.0,77.0,7.0,7.0,20,023
