NAME_Geographic Area Name,P001001_Total Population,P003001_Total Race Population,P003002_White Alone,P003003_Black or African American Alone,P003004_American Indian and Alaska Native Alone,P003005_Asian Alone,P012001_Total Population by Sex by Age,H001001_Total Housing Units,H003001_Total Occupied Housing Units,H003002_Occupied Housing Units,H003003_Vacant Housing Units,state,county,year
"Putnam County, Florida",74364,74364.0,57468.0,12030.0,359.0,455.0,74364.0,37337.0,37337.0,29409.0,7928.0,12,107,2010-12-31
"St. Johns County, Florida",190039,190039.0,169794.0,10684.0,551.0,3920.0,190039.0,89830.0,89830.0,75338.0,14492.0,12,109,2010-12-31
"St. Lucie County, Florida",277789,277789.0,199336.0,53036.0,1123.0,4334.0,277789.0,137029.0,137029.0,108523.0,28506.0,12,111,2010-12-31
"Santa Rosa County, Florida",151372,151372.0,132920.0,8205.0,1306.0,2759.0,151372.0,64760.0,64760.0,56910.0,7850.0,12,113,2010-12-31
"Sarasota County, Florida",379448,379448.0,342090.0,17815.0,945.0,4903.0,379448.0,228413.0,228413.0,175746.0,52667.0,12,115,2010-12-31
"Wakulla County, Florida",30776,30776.0,25224.0,4464.0,191.0,172.0,30776.0,12804.0,12804.0,10490.0,2314.0,12,129,2010-12-31
"Sumter County, Florida",93420,93420.0,80893.0,9022.0,359.0,620.0,93420.0,53026.0,53026.0,41361.0,11665.0,12,119,2010-12-31
"Suwannee County, Florida",41551,41551.0,34299.0,4754.0,211.0,228.0,41551.0,19164.0,19164.0,15953.0,3211.0,12,121,2010-12-31
"Taylor County, Florida",22570,22570.0,16964.0,4669.0,180.0,153.0,22570.0,11004.0,11004.0,7920.0,3084.0,12,123,2010-12-31
"Union County, Florida",15535,15535.0,11655.0,3449.0,57.0,34.0,15535.0,4508.0,4508.0,4048.0,460.0,12,125,2010-12-31
"Volusia County, Florida",494593,494593.0,408256.0,51791.0,1778.0,7567.0,494593.0,254226.0,254226.0,208236.0,45990.0,12,127,2010-12-31
"Walton County, Florida",55043,55043.0,48351.0,3178.0,488.0,499.0,55043.0,45132.0,45132.0,22301.0,22831.0,12,131,2010-12-31
"Washington County, Florida",24896,24896.0,20014.0,3745.0,319.0,134.0,24896.0,10796.0,10796.0,8864.0,1932.0,12,133,2010-12-31
"Banks County, Georgia",18395,18395.0,16877.0,427.0,57.0,165.0,18395.0,7595.0,7595.0,6700.0,895.0,13,011,2010-12-31
"Barrow County, Georgia",69367,69367.0,54665.0,7889.0,186.0,2382.0,69367.0,26400.0,26400.0,23971.0,2429.0,13,013,2010-12-31
"Ben Hill County, Georgia",17634,17634.0,10446.0,6104.0,56.0,126.0,17634.0,7942.0,7942.0,6794.0,1148.0,13,017,2010-12-31
"Camden County, Georgia",50513,50513.0,37557.0,9799.0,259.0,724.0,50513.0,21114.0,21114.0,18047.0,3067.0,13,039,2010-12-31
"Bleckley County, Georgia",13063,13063.0,9151.0,3564.0,13.0,110.0,13063.0,5304.0,5304.0,4660.0,644.0,13,023,2010-12-31
"Baldwin County, Georgia",45720,45720.0,25121.0,18965.0,98.0,582.0,45720.0,20159.0,20159.0,16788.0,3371.0,13,009,2010-12-31
"Bacon County, Georgia",11096,11096.0,8725.0,1704.0,20.0,38.0,11096.0,4801.0,4801.0,4214.0,587.0,13,005,2010-12-31
"Baker County, Georgia",3451,3451.0,1675.0,1613.0,9.0,25.0,3451.0,1652.0,1652.0,1372.0,280.0,13,007,2010-12-31
"Bibb County, Georgia",155547,155547.0,67199.0,81116.0,332.0,2531.0,155547.0,69662.0,69662.0,60295.0,9367.0,13,021,2010-12-31
"Bartow County, Georgia",100157,100157.0,82862.0,10178.0,393.0,719.0,100157.0,39823.0,39823.0,35782.0,4041.0,13,015,2010-12-31
"Berrien County, Georgia",19286,19286.0,16327.0,2063.0,56.0,82.0,19286.0,8709.0,8709.0,7443.0,1266.0,13,019,2010-12-31
"Brooks County, Georgia",16243,16243.0,9722.0,5729.0,49.0,51.0,16243.0,7706.0,7706.0,6457.0,1249.0,13,027,2010-12-31
"Bryan County, Georgia",30233,30233.0,24254.0,4286.0,98.0,486.0,30233.0,11842.0,11842.0,10738.0,1104.0,13,029,2010-12-31
"Bulloch County, Georgia",70217,70217.0,47215.0,19409.0,183.0,1020.0,70217.0,28794.0,28794.0,25575.0,3219.0,13,031,2010-12-31
"Burke County, Georgia",23316,23316.0,11070.0,11533.0,49.0,77.0,23316.0,9865.0,9865.0,8533.0,1332.0,13,033,2010-12-31
"Butts County, Georgia",23655,23655.0,16546.0,6469.0,59.0,109.0,23655.0,9357.0,9357.0,7881.0,1476.0,13,035,2010-12-31
"Calhoun County, Georgia",6694,6694.0,2326.0,4105.0,10.0,30.0,6694.0,2409.0,2409.0,2002.0,407.0,13,037,2010-12-31
"Chattahoochee County, Georgia",11267,11267.0,7753.0,2123.0,81.0,246.0,11267.0,3376.0,3376.0,2686.0,690.0,13,053,2010-12-31
"Candler County, Georgia",10998,10998.0,7253.0,2683.0,9.0,57.0,10998.0,4761.0,4761.0,4041.0,720.0,13,043,2010-12-31
"Carroll County, Georgia",110527,110527.0,83579.0,20089.0,389.0,853.0,110527.0,44607.0,44607.0,39187.0,5420.0,13,045,2010-12-31
"Catoosa County, Georgia",63942,63942.0,59845.0,1392.0,212.0,783.0,63942.0,26606.0,26606.0,24475.0,2131.0,13,047,2010-12-31
"Charlton County, Georgia",12171,12171.0,8352.0,3464.0,45.0,76.0,12171.0,4475.0,4475.0,3927.0,548.0,13,049,2010-12-31
"Chatham County, Georgia",265128,265128.0,140010.0,106392.0,691.0,6311.0,265128.0,119323.0,119323.0,103038.0,16285.0,13,051,2010-12-31
"Coffee County, Georgia",42356,42356.0,27386.0,11283.0,117.0,303.0,42356.0,17061.0,17061.0,14817.0,2244.0,13,069,2010-12-31
"Chattooga County, Georgia",26015,26015.0,21828.0,2899.0,67.0,108.0,26015.0,10977.0,10977.0,9548.0,1429.0,13,055,2010-12-31
"Cherokee County, Georgia",214346,214346.0,185536.0,12117.0,814.0,3538.0,214346.0,82360.0,82360.0,75936.0,6424.0,13,057,2010-12-31
"Clarke County, Georgia",116714,116714.0,72238.0,30988.0,247.0,4869.0,116714.0,51068.0,51068.0,45414.0,5654.0,13,059,2010-12-31
"Clay County, Georgia",3183,3183.0,1197.0,1923.0,11.0,10.0,3183.0,2102.0,2102.0,1331.0,771.0,13,061,2010-12-31
"Clayton County, Georgia",259424,259424.0,48960.0,171480.0,965.0,12937.0,259424.0,104705.0,104705.0,90633.0,14072.0,13,063,2010-12-31
"Clinch County, Georgia",6798,6798.0,4581.0,1886.0,44.0,13.0,6798.0,3007.0,3007.0,2572.0,435.0,13,065,2010-12-31
"Cobb County, Georgia",688078,688078.0,428023.0,171774.0,2314.0,30657.0,688078.0,286490.0,286490.0,260056.0,26434.0,13,067,2010-12-31
"Crisp County, Georgia",23439,23439.0,12487.0,10079.0,32.0,183.0,23439.0,10734.0,10734.0,9079.0,1655.0,13,081,2010-12-31
"Coweta County, Georgia",127317,127317.0,96594.0,22029.0,376.0,1934.0,127317.0,50171.0,50171.0,45673.0,4498.0,13,077,2010-12-31
"Crawford County, Georgia",12630,12630.0,9428.0,2818.0,58.0,33.0,12630.0,5292.0,5292.0,4822.0,470.0,13,079,2010-12-31
"Colquitt County, Georgia",45498,45498.0,29441.0,10210.0,218.0,294.0,45498.0,18311.0,18311.0,16317.0,1994.0,13,071,2010-12-31
"Columbia County, Georgia",124053,124053.0,94867.0,18439.0,393.0,4761.0,124053.0,48626.0,48626.0,44898.0,3728.0,13,073,2010-12-31
"Cook County, Georgia",17212,17212.0,11525.0,4704.0,40.0,114.0,17212.0,7287.0,7287.0,6339.0,948.0,13,075,2010-12-31
"Dooly County, Georgia",14918,14918.0,6810.0,7442.0,16.0,96.0,14918.0,6328.0,6328.0,5286.0,1042.0,13,093,2010-12-31
"Dade County, Georgia",16633,16633.0,15973.0,145.0,74.0,118.0,16633.0,7305.0,7305.0,6291.0,1014.0,13,083,2010-12-31
"Dawson County, Georgia",22330,22330.0,21351.0,105.0,82.0,126.0,22330.0,10425.0,10425.0,8433.0,1992.0,13,085,2010-12-31
"Decatur County, Georgia",27842,27842.0,15096.0,11438.0,117.0,144.0,27842.0,12125.0,12125.0,10390.0,1735.0,13,087,2010-12-31
"DeKalb County, Georgia",691893,691893.0,230156.0,375725.0,2479.0,35426.0,691893.0,304968.0,304968.0,271809.0,33159.0,13,089,2010-12-31
"Dodge County, Georgia",21796,21796.0,14549.0,6504.0,55.0,101.0,21796.0,9857.0,9857.0,8177.0,1680.0,13,091,2010-12-31
"Evans County, Georgia",11000,11000.0,6471.0,3205.0,19.0,74.0,11000.0,4664.0,4664.0,4033.0,631.0,13,109,2010-12-31
"Dougherty County, Georgia",94565,94565.0,27986.0,63470.0,209.0,736.0,94565.0,40801.0,40801.0,36508.0,4293.0,13,095,2010-12-31
"Douglas County, Georgia",132403,132403.0,69458.0,52290.0,399.0,1904.0,132403.0,51672.0,51672.0,46624.0,5048.0,13,097,2010-12-31
"Early County, Georgia",11008,11008.0,5324.0,5462.0,39.0,37.0,11008.0,4975.0,4975.0,4228.0,747.0,13,099,2010-12-31
"Echols County, Georgia",4034,4034.0,3023.0,171.0,72.0,13.0,4034.0,1558.0,1558.0,1329.0,229.0,13,101,2010-12-31
"Effingham County, Georgia",52250,52250.0,43182.0,7048.0,156.0,427.0,52250.0,19884.0,19884.0,18092.0,1792.0,13,103,2010-12-31
"Elbert County, Georgia",20166,20166.0,13297.0,5950.0,49.0,121.0,20166.0,9583.0,9583.0,8063.0,1520.0,13,105,2010-12-31
"Emanuel County, Georgia",22598,22598.0,13928.0,7562.0,58.0,154.0,22598.0,9968.0,9968.0,8430.0,1538.0,13,107,2010-12-31
"Fannin County, Georgia",23682,23682.0,23007.0,83.0,71.0,77.0,23682.0,16207.0,16207.0,10187.0,6020.0,13,111,2010-12-31
"Fayette County, Georgia",106567,106567.0,75802.0,21395.0,316.0,4130.0,106567.0,40793.0,40793.0,38167.0,2626.0,13,113,2010-12-31
"Floyd County, Georgia",96317,96317.0,74055.0,13640.0,344.0,1253.0,96317.0,40551.0,40551.0,35930.0,4621.0,13,115,2010-12-31
"Forsyth County, Georgia",175511,175511.0,149946.0,4510.0,575.0,10925.0,175511.0,64052.0,64052.0,59433.0,4619.0,13,117,2010-12-31
"Franklin County, Georgia",22084,22084.0,19280.0,1850.0,42.0,121.0,22084.0,10553.0,10553.0,8540.0,2013.0,13,119,2010-12-31
"Appling County, Georgia",18236,18236.0,13385.0,3392.0,68.0,126.0,18236.0,8512.0,8512.0,6969.0,1543.0,13,001,2010-12-31
"Brantley County, Georgia",18411,18411.0,17380.0,538.0,58.0,38.0,18411.0,8086.0,8086.0,6885.0,1201.0,13,025,2010-12-31
"Atkinson County, Georgia",8375,8375.0,5213.0,1453.0,47.0,23.0,8375.0,3522.0,3522.0,2983.0,539.0,13,003,2010-12-31
"Fulton County, Georgia",920581,920581.0,409697.0,405575.0,2259.0,51569.0,920581.0,437105.0,437105.0,376377.0,60728.0,13,121,2010-12-31
"Heard County, Georgia",11834,11834.0,10284.0,1159.0,36.0,56.0,11834.0,5148.0,5148.0,4400.0,748.0,13,149,2010-12-31
"Gilmer County, Georgia",28292,28292.0,26115.0,135.0,94.0,74.0,28292.0,16564.0,16564.0,11314.0,5250.0,13,123,2010-12-31
"Glascock County, Georgia",3082,3082.0,2767.0,253.0,7.0,1.0,3082.0,1519.0,1519.0,1162.0,357.0,13,125,2010-12-31
"Greene County, Georgia",15994,15994.0,9056.0,6105.0,50.0,54.0,15994.0,8688.0,8688.0,6519.0,2169.0,13,133,2010-12-31
"Gwinnett County, Georgia",805321,805321.0,429563.0,190167.0,4038.0,85292.0,805321.0,291547.0,291547.0,268519.0,23028.0,13,135,2010-12-31
"Glynn County, Georgia",79626,79626.0,53823.0,20726.0,232.0,921.0,79626.0,40716.0,40716.0,31774.0,8942.0,13,127,2010-12-31
"Grady County, Georgia",25011,25011.0,15716.0,7176.0,182.0,106.0,25011.0,10760.0,10760.0,9418.0,1342.0,13,131,2010-12-31
"Hall County, Georgia",179684,179684.0,133197.0,13279.0,811.0,3226.0,179684.0,68825.0,68825.0,60691.0,8134.0,13,139,2010-12-31
"Hancock County, Georgia",9429,9429.0,2300.0,6983.0,35.0,47.0,9429.0,5360.0,5360.0,3341.0,2019.0,13,141,2010-12-31
"Haralson County, Georgia",28780,28780.0,26707.0,1353.0,66.0,141.0,28780.0,12287.0,12287.0,10757.0,1530.0,13,143,2010-12-31
"Harris County, Georgia",32024,32024.0,25392.0,5506.0,108.0,287.0,32024.0,13397.0,13397.0,11823.0,1574.0,13,145,2010-12-31
"Hart County, Georgia",25213,25213.0,19515.0,4710.0,29.0,218.0,25213.0,13007.0,13007.0,10121.0,2886.0,13,147,2010-12-31
"Lamar County, Georgia",18317,18317.0,12098.0,5650.0,47.0,72.0,18317.0,7474.0,7474.0,6618.0,856.0,13,171,2010-12-31
"Henry County, Georgia",203922,203922.0,112201.0,75277.0,555.0,5968.0,203922.0,76533.0,76533.0,70255.0,6278.0,13,151,2010-12-31
"Houston County, Georgia",139900,139900.0,88626.0,39998.0,475.0,3403.0,139900.0,58325.0,58325.0,53051.0,5274.0,13,153,2010-12-31
"Irwin County, Georgia",9538,9538.0,6811.0,2472.0,2.0,61.0,9538.0,4033.0,4033.0,3495.0,538.0,13,155,2010-12-31
"Jasper County, Georgia",13900,13900.0,10271.0,3037.0,55.0,30.0,13900.0,6153.0,6153.0,5044.0,1109.0,13,159,2010-12-31
"Jeff Davis County, Georgia",15068,15068.0,11463.0,2224.0,34.0,70.0,15068.0,6488.0,6488.0,5689.0,799.0,13,161,2010-12-31
"Jefferson County, Georgia",16930,16930.0,7206.0,9213.0,18.0,68.0,16930.0,7298.0,7298.0,6241.0,1057.0,13,163,2010-12-31
"Jenkins County, Georgia",8340,8340.0,4579.0,3380.0,26.0,36.0,8340.0,4221.0,4221.0,3192.0,1029.0,13,165,2010-12-31
"Johnson County, Georgia",9980,9980.0,6301.0,3489.0,19.0,22.0,9980.0,4120.0,4120.0,3347.0,773.0,13,167,2010-12-31
"Jones County, Georgia",28669,28669.0,20989.0,7008.0,63.0,187.0,28669.0,11688.0,11688.0,10586.0,1102.0,13,169,2010-12-31
"Gordon County, Georgia",55186,55186.0,47032.0,2005.0,202.0,540.0,55186.0,22278.0,22278.0,19715.0,2563.0,13,129,2010-12-31
"Habersham County, Georgia",43041,43041.0,36893.0,1444.0,195.0,960.0,43041.0,18146.0,18146.0,15472.0,2674.0,13,137,2010-12-31
"Jackson County, Georgia",60485,60485.0,52496.0,4103.0,124.0,1033.0,60485.0,23752.0,23752.0,21343.0,2409.0,13,157,2010-12-31
"Macon County, Georgia",14740,14740.0,5177.0,8933.0,40.0,195.0,14740.0,6136.0,6136.0,4999.0,1137.0,13,193,2010-12-31
"Lanier County, Georgia",10078,10078.0,7118.0,2390.0,53.0,103.0,10078.0,4249.0,4249.0,3608.0,641.0,13,173,2010-12-31
"Laurens County, Georgia",48434,48434.0,29355.0,17324.0,100.0,483.0,48434.0,21368.0,21368.0,18641.0,2727.0,13,175,2010-12-31
"Lee County, Georgia",28298,28298.0,21763.0,5268.0,74.0,617.0,28298.0,10276.0,10276.0,9706.0,570.0,13,177,2010-12-31
"Liberty County, Georgia",63453,63453.0,29881.0,26805.0,358.0,1247.0,63453.0,26731.0,26731.0,22155.0,4576.0,13,179,2010-12-31
"Lincoln County, Georgia",7996,7996.0,5257.0,2570.0,28.0,32.0,7996.0,4786.0,4786.0,3281.0,1505.0,13,181,2010-12-31
"Long County, Georgia",14464,14464.0,9026.0,3647.0,91.0,115.0,14464.0,6039.0,6039.0,5023.0,1016.0,13,183,2010-12-31
"Lowndes County, Georgia",109233,109233.0,63485.0,39142.0,416.0,1591.0,109233.0,43921.0,43921.0,39747.0,4174.0,13,185,2010-12-31
"Lumpkin County, Georgia",29966,29966.0,28277.0,340.0,177.0,138.0,29966.0,12925.0,12925.0,10989.0,1936.0,13,187,2010-12-31
"McDuffie County, Georgia",21875,21875.0,12518.0,8706.0,65.0,76.0,21875.0,9319.0,9319.0,8289.0,1030.0,13,189,2010-12-31
"McIntosh County, Georgia",14333,14333.0,8811.0,5149.0,53.0,45.0,14333.0,9220.0,9220.0,5971.0,3249.0,13,191,2010-12-31
"Monroe County, Georgia",26424,26424.0,19365.0,6268.0,69.0,214.0,26424.0,10710.0,10710.0,9662.0,1048.0,13,207,2010-12-31
"Madison County, Georgia",28120,28120.0,24634.0,2355.0,74.0,178.0,28120.0,11784.0,11784.0,10508.0,1276.0,13,195,2010-12-31
"Marion County, Georgia",8742,8742.0,5254.0,2856.0,44.0,78.0,8742.0,4156.0,4156.0,3420.0,736.0,13,197,2010-12-31
"Meriwether County, Georgia",21992,21992.0,12741.0,8605.0,77.0,141.0,21992.0,9957.0,9957.0,8522.0,1435.0,13,199,2010-12-31
"Miller County, Georgia",6125,6125.0,4266.0,1720.0,15.0,28.0,6125.0,2791.0,2791.0,2426.0,365.0,13,201,2010-12-31
"Mitchell County, Georgia",23498,23498.0,11264.0,11219.0,77.0,122.0,23498.0,8996.0,8996.0,8055.0,941.0,13,205,2010-12-31
"Oconee County, Georgia",32808,32808.0,29004.0,1635.0,49.0,1022.0,32808.0,12383.0,12383.0,11622.0,761.0,13,219,2010-12-31
"Montgomery County, Georgia",9123,9123.0,6291.0,2397.0,6.0,26.0,9123.0,3921.0,3921.0,3287.0,634.0,13,209,2010-12-31
"Morgan County, Georgia",17868,17868.0,12984.0,4208.0,54.0,106.0,17868.0,7472.0,7472.0,6660.0,812.0,13,211,2010-12-31
"Murray County, Georgia",39628,39628.0,35320.0,245.0,159.0,116.0,39628.0,15979.0,15979.0,14080.0,1899.0,13,213,2010-12-31
"Muscogee County, Georgia",189885,189885.0,87870.0,86403.0,731.0,4128.0,189885.0,82690.0,82690.0,74081.0,8609.0,13,215,2010-12-31
"Newton County, Georgia",99958,99958.0,53754.0,40878.0,232.0,906.0,99958.0,38342.0,38342.0,34390.0,3952.0,13,217,2010-12-31
"Oglethorpe County, Georgia",14899,14899.0,11662.0,2566.0,35.0,65.0,14899.0,6484.0,6484.0,5647.0,837.0,13,221,2010-12-31
"Paulding County, Georgia",142324,142324.0,110517.0,24321.0,427.0,1271.0,142324.0,52130.0,52130.0,48105.0,4025.0,13,223,2010-12-31
"Pike County, Georgia",17869,17869.0,15606.0,1837.0,55.0,56.0,17869.0,6820.0,6820.0,6187.0,633.0,13,231,2010-12-31
"Polk County, Georgia",41475,41475.0,31974.0,5190.0,115.0,281.0,41475.0,16908.0,16908.0,15092.0,1816.0,13,233,2010-12-31
"Peach County, Georgia",27695,27695.0,13383.0,12715.0,67.0,223.0,27695.0,11050.0,11050.0,9958.0,1092.0,13,225,2010-12-31
"Pickens County, Georgia",29431,29431.0,28171.0,312.0,81.0,119.0,29431.0,13692.0,13692.0,11291.0,2401.0,13,227,2010-12-31
"Pierce County, Georgia",18758,18758.0,16293.0,1666.0,80.0,59.0,18758.0,7986.0,7986.0,7083.0,903.0,13,229,2010-12-31
"Pulaski County, Georgia",12010,12010.0,7679.0,3824.0,40.0,105.0,12010.0,5151.0,5151.0,4475.0,676.0,13,235,2010-12-31
"Stephens County, Georgia",26175,26175.0,22286.0,2845.0,77.0,178.0,26175.0,12662.0,12662.0,10289.0,2373.0,13,257,2010-12-31
"Putnam County, Georgia",21218,21218.0,14408.0,5522.0,38.0,107.0,21218.0,12804.0,12804.0,8601.0,4203.0,13,237,2010-12-31
"Quitman County, Georgia",2513,2513.0,1290.0,1204.0,4.0,2.0,2513.0,2047.0,2047.0,1053.0,994.0,13,239,2010-12-31
"Rabun County, Georgia",16276,16276.0,15185.0,156.0,68.0,116.0,16276.0,12313.0,12313.0,6780.0,5533.0,13,241,2010-12-31
"Randolph County, Georgia",7719,7719.0,2827.0,4769.0,5.0,23.0,7719.0,4153.0,4153.0,3187.0,966.0,13,243,2010-12-31
"Richmond County, Georgia",200549,200549.0,79624.0,108633.0,685.0,3331.0,200549.0,86331.0,86331.0,76924.0,9407.0,13,245,2010-12-31
"Rockdale County, Georgia",85215,85215.0,38187.0,39559.0,253.0,1516.0,85215.0,33272.0,33272.0,30027.0,3245.0,13,247,2010-12-31
"Schley County, Georgia",5010,5010.0,3658.0,1169.0,2.0,36.0,5010.0,2208.0,2208.0,1872.0,336.0,13,249,2010-12-31
"Screven County, Georgia",14593,14593.0,7965.0,6318.0,46.0,57.0,14593.0,6739.0,6739.0,5596.0,1143.0,13,251,2010-12-31
"Seminole County, Georgia",8729,8729.0,5594.0,2916.0,12.0,35.0,8729.0,4797.0,4797.0,3509.0,1288.0,13,253,2010-12-31
"Spalding County, Georgia",64073,64073.0,40148.0,21030.0,213.0,574.0,64073.0,26777.0,26777.0,23565.0,3212.0,13,255,2010-12-31
"Thomas County, Georgia",44720,44720.0,26645.0,16497.0,196.0,311.0,44720.0,20177.0,20177.0,17573.0,2604.0,13,275,2010-12-31
"Stewart County, Georgia",6058,6058.0,1696.0,2864.0,11.0,44.0,6058.0,2383.0,2383.0,1862.0,521.0,13,259,2010-12-31
"Sumter County, Georgia",32819,32819.0,13852.0,17001.0,106.0,421.0,32819.0,13909.0,13909.0,12123.0,1786.0,13,261,2010-12-31
"Talbot County, Georgia",6865,6865.0,2679.0,4065.0,18.0,9.0,6865.0,3399.0,3399.0,2832.0,567.0,13,263,2010-12-31
"Telfair County, Georgia",16500,16500.0,9398.0,6017.0,26.0,96.0,16500.0,7297.0,7297.0,5543.0,1754.0,13,271,2010-12-31
"Terrell County, Georgia",9315,9315.0,3407.0,5700.0,18.0,29.0,9315.0,4080.0,4080.0,3519.0,561.0,13,273,2010-12-31
"Taliaferro County, Georgia",1717,1717.0,640.0,1024.0,2.0,11.0,1717.0,1015.0,1015.0,759.0,256.0,13,265,2010-12-31
"Tattnall County, Georgia",25520,25520.0,15991.0,7465.0,87.0,99.0,25520.0,9966.0,9966.0,8210.0,1756.0,13,267,2010-12-31
"Taylor County, Georgia",8906,8906.0,5208.0,3503.0,6.0,57.0,8906.0,4563.0,4563.0,3522.0,1041.0,13,269,2010-12-31
"Union County, Georgia",21356,21356.0,20668.0,99.0,72.0,75.0,21356.0,14052.0,14052.0,9116.0,4936.0,13,291,2010-12-31
"Tift County, Georgia",40118,40118.0,24645.0,11618.0,85.0,512.0,40118.0,16434.0,16434.0,14836.0,1598.0,13,277,2010-12-31
"Toombs County, Georgia",27223,27223.0,17728.0,6767.0,74.0,200.0,27223.0,12144.0,12144.0,10375.0,1769.0,13,279,2010-12-31
"Towns County, Georgia",10471,10471.0,10232.0,41.0,31.0,44.0,10471.0,7731.0,7731.0,4510.0,3221.0,13,281,2010-12-31
"Treutlen County, Georgia",6885,6885.0,4488.0,2247.0,14.0,13.0,6885.0,2992.0,2992.0,2543.0,449.0,13,283,2010-12-31
"Troup County, Georgia",67044,67044.0,41216.0,22394.0,168.0,1060.0,67044.0,28046.0,28046.0,24828.0,3218.0,13,285,2010-12-31
"Turner County, Georgia",8930,8930.0,4886.0,3712.0,29.0,40.0,8930.0,3841.0,3841.0,3339.0,502.0,13,287,2010-12-31
"Twiggs County, Georgia",9023,9023.0,5123.0,3724.0,28.0,14.0,9023.0,4235.0,4235.0,3634.0,601.0,13,289,2010-12-31
"Washington County, Georgia",21187,21187.0,9531.0,11173.0,25.0,104.0,21187.0,9047.0,9047.0,7547.0,1500.0,13,303,2010-12-31
"Upson County, Georgia",27153,27153.0,18693.0,7590.0,76.0,127.0,27153.0,12161.0,12161.0,10716.0,1445.0,13,293,2010-12-31
"Walker County, Georgia",68756,68756.0,63918.0,2829.0,182.0,297.0,68756.0,30100.0,30100.0,26497.0,3603.0,13,295,2010-12-31
"Walton County, Georgia",83768,83768.0,67057.0,13103.0,222.0,956.0,83768.0,32435.0,32435.0,29583.0,2852.0,13,297,2010-12-31
"Ware County, Georgia",36312,36312.0,24103.0,10721.0,120.0,279.0,36312.0,16326.0,16326.0,13654.0,2672.0,13,299,2010-12-31
"Warren County, Georgia",5834,5834.0,2152.0,3602.0,10.0,22.0,5834.0,2985.0,2985.0,2315.0,670.0,13,301,2010-12-31
"Wilkinson County, Georgia",9563,9563.0,5598.0,3672.0,29.0,31.0,9563.0,4487.0,4487.0,3666.0,821.0,13,319,2010-12-31
"White County, Georgia",27144,27144.0,25824.0,457.0,131.0,124.0,27144.0,16062.0,16062.0,10646.0,5416.0,13,311,2010-12-31
"Whitfield County, Georgia",102599,102599.0,78623.0,3845.0,658.0,1330.0,102599.0,39899.0,39899.0,35180.0,4719.0,13,313,2010-12-31
"Wayne County, Georgia",30099,30099.0,22558.0,5996.0,127.0,161.0,30099.0,12199.0,12199.0,10562.0,1637.0,13,305,2010-12-31
"Webster County, Georgia",2799,2799.0,1512.0,1185.0,0.0,7.0,2799.0,1523.0,1523.0,1119.0,404.0,13,307,2010-12-31
"Wheeler County, Georgia",7421,7421.0,4552.0,2614.0,6.0,16.0,7421.0,2625.0,2625.0,2152.0,473.0,13,309,2010-12-31
"Wilcox County, Georgia",9255,9255.0,5706.0,3252.0,16.0,42.0,9255.0,3510.0,3510.0,2891.0,619.0,13,315,2010-12-31
"Wilkes County, Georgia",10593,10593.0,5616.0,4535.0,18.0,52.0,10593.0,5158.0,5158.0,4263.0,895.0,13,317,2010-12-31
"Worth County, Georgia",21679,21679.0,15232.0,5978.0,58.0,74.0,21679.0,9251.0,9251.0,8214.0,1037.0,13,321,2010-12-31
"Maui County, Hawaii",154834,154834.0,53336.0,870.0,603.0,44595.0,154834.0,70379.0,70379.0,53886.0,16493.0,15,009,2010-12-31
"Hawaii County, Hawaii",185079,185079.0,62348.0,1020.0,869.0,41050.0,185079.0,82324.0,82324.0,67096.0,15228.0,15,001,2010-12-31
"Honolulu County, Hawaii",953207,953207.0,198732.0,19256.0,2438.0,418410.0,953207.0,336899.0,336899.0,311047.0,25852.0,15,003,2010-12-31
"Kalawao County, Hawaii",90,90.0,24.0,0.0,0.0,7.0,90.0,113.0,113.0,69.0,44.0,15,005,2010-12-31
"Kauai County, Hawaii",67091,67091.0,22159.0,278.0,254.0,21016.0,67091.0,29793.0,29793.0,23240.0,6553.0,15,007,2010-12-31
"Bear Lake County, Idaho",5986,5986.0,5767.0,6.0,29.0,22.0,5986.0,3914.0,3914.0,2281.0,1633.0,16,007,2010-12-31
"Benewah County, Idaho",9285,9285.0,8039.0,28.0,809.0,27.0,9285.0,4629.0,4629.0,3837.0,792.0,16,009,2010-12-31
"Ada County, Idaho",392365,392365.0,354347.0,4441.0,2610.0,9407.0,392365.0,159471.0,159471.0,148445.0,11026.0,16,001,2010-12-31
"Adams County, Idaho",3976,3976.0,3821.0,5.0,39.0,16.0,3976.0,2636.0,2636.0,1748.0,888.0,16,003,2010-12-31
"Bannock County, Idaho",82839,82839.0,74401.0,625.0,2619.0,1079.0,82839.0,33191.0,33191.0,30682.0,2509.0,16,005,2010-12-31
"Bingham County, Idaho",45607,45607.0,36752.0,105.0,2970.0,285.0,45607.0,16141.0,16141.0,14999.0,1142.0,16,011,2010-12-31
"Blaine County, Idaho",21376,21376.0,18157.0,39.0,125.0,183.0,21376.0,15050.0,15050.0,8823.0,6227.0,16,013,2010-12-31
"Boise County, Idaho",7028,7028.0,6703.0,15.0,55.0,29.0,7028.0,5292.0,5292.0,2974.0,2318.0,16,015,2010-12-31
"Clark County, Idaho",982,982.0,711.0,7.0,10.0,5.0,982.0,531.0,531.0,345.0,186.0,16,033,2010-12-31
"Boundary County, Idaho",10972,10972.0,10398.0,29.0,189.0,62.0,10972.0,5175.0,5175.0,4421.0,754.0,16,021,2010-12-31
