NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,county,year
"Coosa County, Alabama",11198.0,44.7,43.7,45.5,7587.0,3424.0,8.0,0.0,229.0,37277.0,18493.0,2280.0,4867.0,4867.0,4005.0,862.0,75100.0,574.0,4506.0,1947.0,439.0,304.0,29.0,25.0,3828.0,12.0,10912.0,5414.0,309.0,4506.0,2891.0,1615.0,01,037,2013-12-31
"Dale County, Alabama",50102.0,36.1,34.2,37.9,37616.0,9690.0,194.0,633.0,2845.0,44889.0,22685.0,8448.0,24071.0,21659.0,19406.0,2253.0,99400.0,616.0,19345.0,3348.0,3745.0,1522.0,284.0,71.0,21133.0,50.0,47230.0,22244.0,2081.0,19345.0,12785.0,6560.0,01,045,2013-12-31
"Hale County, Alabama",15594.0,40.7,37.9,41.9,6207.0,9219.0,42.0,41.0,52.0,30051.0,18812.0,4065.0,6527.0,6518.0,5462.0,1056.0,79900.0,426.0,5969.0,1673.0,941.0,350.0,37.0,11.0,5296.0,1.0,15283.0,7209.0,534.0,5969.0,3923.0,2046.0,01,065,2013-12-31
"Etowah County, Alabama",104260.0,40.3,39.1,41.4,85307.0,15862.0,430.0,682.0,3604.0,38013.0,20204.0,19507.0,44660.0,44525.0,39289.0,5236.0,100000.0,615.0,40217.0,7202.0,6839.0,2769.0,703.0,236.0,38409.0,89.0,103008.0,49812.0,3681.0,40217.0,27863.0,12354.0,01,055,2013-12-31
"DeKalb County, Alabama",71076.0,38.8,37.2,39.9,64749.0,1293.0,944.0,239.0,9790.0,37851.0,18149.0,13966.0,30905.0,30903.0,27390.0,3513.0,93400.0,518.0,24923.0,6046.0,3028.0,1641.0,274.0,90.0,26957.0,15.0,70440.0,34654.0,2704.0,24923.0,18179.0,6744.0,01,049,2013-12-31
"Escambia County, Alabama",38169.0,39.4,38.4,40.2,23832.0,12370.0,1337.0,109.0,756.0,30687.0,16540.0,9087.0,14843.0,14666.0,12346.0,2320.0,84100.0,582.0,13681.0,2751.0,2048.0,814.0,143.0,54.0,12403.0,96.0,35632.0,17302.0,1406.0,13681.0,9321.0,4360.0,01,053,2013-12-31
"Lamar County, Alabama",14396.0,42.9,43.0,42.8,12564.0,1687.0,33.0,3.0,190.0,36028.0,19026.0,3170.0,6240.0,6209.0,5583.0,626.0,66800.0,447.0,6084.0,1253.0,615.0,255.0,78.0,22.0,5542.0,15.0,14218.0,6804.0,503.0,6084.0,4435.0,1649.0,01,075,2013-12-31
"Randolph County, Alabama",22819.0,41.5,38.9,43.2,17527.0,4643.0,80.0,38.0,667.0,35213.0,19830.0,5437.0,9620.0,9600.0,8440.0,1160.0,88600.0,588.0,9013.0,2897.0,1096.0,566.0,34.0,20.0,8242.0,34.0,22525.0,11054.0,790.0,9013.0,6133.0,2880.0,01,111,2013-12-31
"Butler County, Alabama",20624.0,40.6,38.7,42.7,11300.0,9024.0,24.0,106.0,220.0,29918.0,17403.0,5776.0,8954.0,8929.0,7606.0,1323.0,74700.0,560.0,8235.0,1696.0,1232.0,606.0,61.0,72.0,7529.0,10.0,20367.0,9525.0,838.0,8235.0,5346.0,2889.0,01,013,2013-12-31
"Mobile County, Alabama",413188.0,36.7,35.3,38.1,250269.0,143681.0,3187.0,7850.0,10221.0,43028.0,22501.0,79994.0,193682.0,192664.0,169678.0,22986.0,124300.0,756.0,155178.0,23976.0,36855.0,13009.0,3617.0,2393.0,167552.0,896.0,406425.0,193211.0,17032.0,155178.0,104815.0,50363.0,01,097,2013-12-31
"Perry County, Alabama",10390.0,35.8,33.9,39.6,3142.0,7097.0,0.0,25.0,67.0,28209.0,13716.0,2469.0,3516.0,3485.0,2793.0,692.0,58000.0,461.0,3400.0,1308.0,421.0,222.0,18.0,26.0,2720.0,7.0,10151.0,4768.0,499.0,3400.0,2307.0,1093.0,01,105,2013-12-31
"Walker County, Alabama",66622.0,41.8,40.6,42.8,60778.0,3644.0,183.0,210.0,1404.0,37566.0,20698.0,13688.0,28342.0,28237.0,24153.0,4084.0,82100.0,614.0,25751.0,4965.0,3088.0,1184.0,443.0,122.0,23639.0,50.0,65772.0,31877.0,2408.0,25751.0,18082.0,7669.0,01,127,2013-12-31
"Cleburne County, Alabama",14945.0,41.3,40.3,41.6,14143.0,530.0,34.0,47.0,320.0,38019.0,19108.0,2728.0,6529.0,6529.0,5799.0,730.0,100800.0,574.0,5601.0,1084.0,461.0,290.0,102.0,69.0,5647.0,5.0,14797.0,7304.0,522.0,5601.0,4036.0,1565.0,01,029,2013-12-31
"Conecuh County, Alabama",13104.0,43.2,41.3,44.5,6836.0,5856.0,68.0,8.0,191.0,24658.0,15605.0,4264.0,5055.0,5055.0,3802.0,1253.0,69600.0,525.0,4994.0,2075.0,396.0,318.0,55.0,17.0,3738.0,0.0,13040.0,6304.0,579.0,4994.0,3438.0,1556.0,01,035,2013-12-31
"Greene County, Alabama",8934.0,42.4,41.5,44.5,1583.0,7217.0,39.0,15.0,47.0,24226.0,14930.0,2923.0,3492.0,3492.0,2652.0,840.0,72700.0,428.0,3264.0,1721.0,529.0,197.0,44.0,0.0,2629.0,53.0,8891.0,4174.0,288.0,3264.0,1991.0,1273.0,01,063,2013-12-31
"Barbour County, Alabama",27321.0,38.3,36.6,41.2,12960.0,12675.0,55.0,152.0,1339.0,32911.0,16829.0,6512.0,10903.0,10903.0,9344.0,1559.0,89200.0,587.0,9200.0,2590.0,1546.0,773.0,171.0,55.0,9163.0,8.0,24457.0,11864.0,1011.0,9200.0,6062.0,3138.0,01,005,2013-12-31
