NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,year
Alabama,4777326.0,37.8,36.4,39.2,3321318.0,1256097.0,26166.0,54923.0,182268.0,43160.0,23587.0,842292.0,2265008.0,2248665.0,2017887.0,230778.0,122300.0,691.0,1837576.0,335071.0,448117.0,182960.0,44662.0,29262.0,1988366.0,8842.0,4693822.0,2256713.0,186155.0,1837576.0,1242544.0,595032.0,01,2012-12-31
Alaska,711139.0,33.8,33.6,34.0,477985.0,24219.0,98976.0,37968.0,40371.0,69917.0,32537.0,66631.0,389890.0,372484.0,341115.0,31369.0,237900.0,1065.0,252991.0,52454.0,79441.0,30708.0,7497.0,5322.0,345577.0,5301.0,686905.0,349855.0,33053.0,252991.0,169717.0,83274.0,02,2012-12-31
Arizona,6410979.0,36.0,34.8,37.2,5085954.0,262284.0,283805.0,177598.0,1902946.0,50256.0,25571.0,1074986.0,3049419.0,3029669.0,2733537.0,296132.0,175900.0,891.0,2357158.0,484274.0,702007.0,288414.0,68944.0,45738.0,2694999.0,52922.0,6304406.0,3099407.0,279297.0,2357158.0,1553929.0,803229.0,04,2012-12-31
Arkansas,2916372.0,37.4,36.1,38.7,2285577.0,453062.0,17390.0,35744.0,185239.0,40531.0,22007.0,530309.0,1377211.0,1370423.0,1253069.0,117354.0,106300.0,649.0,1128797.0,188077.0,252579.0,89971.0,22997.0,14787.0,1232938.0,5439.0,2862023.0,1394466.0,120828.0,1128797.0,765068.0,363729.0,05,2012-12-31
California,37325068.0,35.2,34.1,36.4,23252553.0,2254160.0,291505.0,4921543.0,14024109.0,61400.0,29551.0,5590100.0,18821426.0,18673806.0,16614362.0,2059444.0,383900.0,1209.0,12466331.0,1200895.0,4667570.0,1766387.0,558834.0,351764.0,16282943.0,837820.0,36783532.0,18138870.0,1561623.0,12466331.0,8550034.0,3916297.0,06,2012-12-31
Colorado,5042853.0,36.1,35.1,37.1,4243753.0,201424.0,49099.0,136882.0,1040478.0,58244.0,31039.0,633878.0,2749557.0,2717391.0,2498972.0,218419.0,236800.0,915.0,1962753.0,248862.0,780515.0,319729.0,72040.0,48622.0,2481269.0,80763.0,4949633.0,2457605.0,210948.0,1962753.0,1259998.0,702755.0,08,2012-12-31
Delaware,900131.0,38.7,37.3,40.0,634259.0,192629.0,2877.0,29177.0,73230.0,60119.0,29733.0,100655.0,464607.0,460810.0,422219.0,38591.0,241100.0,985.0,334076.0,71807.0,103120.0,48432.0,11087.0,9445.0,416699.0,13522.0,884582.0,425289.0,33941.0,334076.0,225798.0,108278.0,10,2012-12-31
District of Columbia,605759.0,33.9,33.7,34.1,239413.0,309263.0,2143.0,21440.0,56259.0,64267.0,45004.0,105606.0,348010.0,344830.0,308602.0,36228.0,443000.0,1200.0,261192.0,35479.0,93963.0,69280.0,34107.0,16399.0,306336.0,115796.0,594942.0,278445.0,20603.0,261192.0,109643.0,151549.0,11,2012-12-31
Connecticut,3572213.0,40.0,38.5,41.2,2802217.0,355660.0,8531.0,138355.0,480185.0,69519.0,37807.0,344616.0,1949251.0,1940413.0,1762707.0,177706.0,285900.0,1044.0,1360184.0,125261.0,494197.0,276483.0,70524.0,37885.0,1730076.0,78653.0,3514027.0,1703559.0,123820.0,1360184.0,907600.0,452584.0,09,2012-12-31
Florida,18885152.0,40.8,39.4,42.2,14438364.0,3005551.0,58119.0,464587.0,4247427.0,47309.0,26451.0,2887151.0,9328439.0,9270826.0,8220927.0,1049899.0,170800.0,987.0,7147013.0,1836401.0,2207281.0,831739.0,259487.0,136664.0,8107476.0,164698.0,18571056.0,8995372.0,659117.0,7147013.0,4631405.0,2515608.0,12,2012-12-31
Georgia,9714569.0,35.4,34.1,36.5,5903173.0,2970481.0,24937.0,318530.0,853602.0,49604.0,25309.0,1645272.0,4844814.0,4789521.0,4277991.0,511530.0,156400.0,849.0,3508477.0,577754.0,1105741.0,439265.0,119132.0,69033.0,4234475.0,92062.0,9511663.0,4587295.0,423530.0,3508477.0,2397245.0,1111232.0,13,2012-12-31
Idaho,1567803.0,34.7,33.8,35.5,1445289.0,8821.0,19376.0,19097.0,175512.0,47015.0,22581.0,231604.0,767626.0,763991.0,698702.0,65289.0,167100.0,720.0,577648.0,89070.0,167268.0,52555.0,13796.0,10092.0,687321.0,6160.0,1547099.0,770881.0,73922.0,577648.0,404091.0,173557.0,16,2012-12-31
Hawaii,1362730.0,38.4,37.0,39.9,339079.0,22399.0,3079.0,527745.0,122882.0,67492.0,29227.0,143001.0,727728.0,688508.0,642284.0,46224.0,517000.0,1354.0,447453.0,72358.0,181666.0,61126.0,20851.0,11148.0,665358.0,41700.0,1311430.0,641592.0,53369.0,447453.0,310300.0,137153.0,15,2012-12-31
Illinois,12823860.0,36.6,35.3,38.0,9298731.0,1860471.0,26669.0,595110.0,2027384.0,56853.0,29519.0,1710465.0,6719976.0,6699317.0,6035426.0,663891.0,190800.0,877.0,4774275.0,519344.0,1632885.0,721913.0,179995.0,94551.0,5926796.0,516053.0,12641685.0,6172562.0,509859.0,4774275.0,3142347.0,1631928.0,17,2012-12-31
Indiana,6485530.0,37.0,35.6,38.3,5500814.0,582691.0,15241.0,102713.0,389094.0,48374.0,24558.0,927123.0,3292887.0,3288210.0,2978847.0,309363.0,123400.0,719.0,2478846.0,318391.0,623200.0,252486.0,56453.0,39868.0,2923571.0,30984.0,6384930.0,3128248.0,265565.0,2478846.0,1655534.0,823312.0,18,2012-12-31
Iowa,3047646.0,38.0,36.6,39.4,2793432.0,88664.0,9708.0,54262.0,151027.0,51129.0,26545.0,360670.0,1651480.0,1649007.0,1557331.0,91676.0,123000.0,655.0,1223509.0,113901.0,353091.0,108259.0,29074.0,19520.0,1529744.0,17387.0,3001335.0,1483079.0,121104.0,1223509.0,795898.0,427611.0,19,2012-12-31
Kansas,2851183.0,36.0,34.7,37.5,2435253.0,164177.0,23435.0,68683.0,298636.0,51273.0,26845.0,365656.0,1513938.0,1496139.0,1395634.0,100505.0,127400.0,715.0,1109391.0,123734.0,359569.0,139733.0,32598.0,19474.0,1386193.0,6485.0,2791851.0,1373515.0,124045.0,1109391.0,730308.0,379083.0,20,2012-12-31
Kentucky,4340167.0,38.0,36.7,39.3,3823344.0,339228.0,8607.0,49681.0,131039.0,42610.0,23210.0,781485.0,2071789.0,2054159.0,1859549.0,194610.0,120000.0,638.0,1691716.0,236200.0,361888.0,175964.0,46933.0,24142.0,1833778.0,21160.0,4251528.0,2071991.0,172032.0,1691716.0,1135025.0,556691.0,21,2012-12-31
Louisiana,4529605.0,35.9,34.6,37.3,2856883.0,1450992.0,28702.0,71460.0,192582.0,44673.0,24264.0,821224.0,2192304.0,2175983.0,1993119.0,182864.0,137700.0,762.0,1696499.0,267830.0,420395.0,139731.0,45076.0,24713.0,1960054.0,25072.0,4425335.0,2135739.0,189327.0,1696499.0,1130311.0,566188.0,22,2012-12-31
Maine,1329084.0,42.8,41.6,43.8,1266435.0,14338.0,7168.0,13971.0,17241.0,48219.0,26464.0,171644.0,706163.0,703653.0,651335.0,52318.0,175600.0,750.0,553208.0,167963.0,164915.0,64897.0,16351.0,10302.0,637261.0,4020.0,1314102.0,641568.0,42802.0,553208.0,349857.0,203351.0,23,2012-12-31
Maryland,5785496.0,37.9,36.3,39.3,3408049.0,1700174.0,17323.0,323363.0,472285.0,72999.0,36056.0,532116.0,3199290.0,3171064.0,2924344.0,246720.0,304900.0,1172.0,2138806.0,240126.0,774417.0,429563.0,113722.0,90619.0,2889278.0,255021.0,5686615.0,2729257.0,225214.0,2138806.0,1432382.0,706424.0,24,2012-12-31
Massachusetts,6560595.0,39.1,37.7,40.3,5310948.0,446347.0,12908.0,357354.0,630406.0,66658.0,35485.0,698286.0,3614094.0,3608505.0,3302990.0,305515.0,335500.0,1056.0,2525694.0,278512.0,989299.0,523662.0,125268.0,102237.0,3231819.0,295729.0,6479196.0,3128445.0,225759.0,2525694.0,1604206.0,921488.0,25,2012-12-31
Michigan,9897264.0,38.8,37.5,40.0,7852317.0,1391269.0,55723.0,245587.0,438398.0,48471.0,25547.0,1582022.0,4889594.0,4884714.0,4269865.0,614849.0,128600.0,755.0,3818931.0,713027.0,1033830.0,473285.0,108256.0,63809.0,4171196.0,55772.0,9782012.0,4776077.0,367105.0,3818931.0,2518957.0,1299974.0,26,2012-12-31
Minnesota,5313081.0,37.4,36.2,38.5,4570137.0,271953.0,56770.0,216159.0,250025.0,59126.0,30656.0,582335.0,2955309.0,2952483.0,2745021.0,207462.0,194300.0,802.0,2101875.0,246053.0,768061.0,254134.0,73383.0,40961.0,2697932.0,93219.0,5253764.0,2604024.0,216072.0,2101875.0,1365845.0,736030.0,27,2012-12-31
Mississippi,2967620.0,36.0,34.5,37.4,1768530.0,1101849.0,13344.0,26403.0,78634.0,38882.0,20670.0,640132.0,1361499.0,1347995.0,1204869.0,143126.0,100200.0,688.0,1087791.0,186486.0,243099.0,96606.0,24767.0,16009.0,1190185.0,5141.0,2898487.0,1387515.0,127486.0,1087791.0,750101.0,337690.0,28,2012-12-31
Missouri,5982413.0,37.9,36.5,39.2,4972530.0,689683.0,22704.0,96035.0,212152.0,47333.0,25546.0,869036.0,3062560.0,3041365.0,2781791.0,259574.0,138400.0,712.0,2358270.0,352236.0,642058.0,274737.0,66671.0,40610.0,2747695.0,40115.0,5867503.0,2855264.0,237217.0,2358270.0,1543528.0,814742.0,29,2012-12-31
Montana,990785.0,39.9,38.8,41.0,887924.0,4145.0,62398.0,6034.0,28984.0,45456.0,25002.0,143119.0,517348.0,513795.0,478254.0,35541.0,183000.0,667.0,405508.0,75893.0,132234.0,39215.0,12095.0,7672.0,470377.0,4369.0,975207.0,487092.0,38014.0,405508.0,256237.0,149271.0,30,2012-12-31
Nebraska,1827306.0,36.3,35.0,37.5,1612538.0,82341.0,16461.0,32302.0,167155.0,51381.0,26523.0,220244.0,1008534.0,1002898.0,946986.0,55912.0,126700.0,687.0,721026.0,76184.0,225471.0,74332.0,20206.0,13018.0,935599.0,6418.0,1797941.0,888008.0,80513.0,721026.0,468691.0,252335.0,31,2012-12-31
