NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,year
Alabama,5028092.0,39.3,37.9,40.6,3329012.0,1326341.0,21122.0,69808.0,232407.0,59609.0,33344.0,768897.0,2345086.0,2329696.0,2209666.0,120030.0,179400.0,925.0,1933150.0,363770.0,572252.0,261039.0,56574.0,42980.0,2183677.0,6982.0,4944981.0,2387378.0,179282.0,1933150.0,1255864.0,677286.0,01,2022-12-31
Alaska,734821.0,35.3,34.9,35.7,450472.0,23395.0,104957.0,47464.0,54890.0,86370.0,42828.0,75227.0,383078.0,362197.0,339162.0,23035.0,318000.0,1345.0,264376.0,61812.0,93744.0,39645.0,9589.0,6419.0,351067.0,3805.0,706392.0,362809.0,30023.0,264376.0,170971.0,93405.0,02,2022-12-31
Arizona,7172282.0,38.4,37.2,39.6,4781702.0,327077.0,297590.0,240642.0,2297513.0,72581.0,38334.0,916876.0,3490030.0,3467247.0,3281189.0,186058.0,321400.0,1308.0,2739136.0,358632.0,958447.0,429317.0,93897.0,69793.0,3244419.0,40113.0,7060320.0,3498441.0,248058.0,2739136.0,1780293.0,958843.0,04,2022-12-31
Arkansas,3018669.0,38.4,37.2,39.6,2193348.0,456693.0,16840.0,47413.0,243321.0,56335.0,31868.0,475729.0,1397075.0,1391084.0,1319483.0,71601.0,162400.0,868.0,1171694.0,200015.0,317437.0,134754.0,29822.0,19966.0,1304084.0,3744.0,2964272.0,1453953.0,112897.0,1171694.0,763445.0,408249.0,05,2022-12-31
California,39356104.0,37.3,36.3,38.3,18943660.0,2202587.0,394188.0,5949136.0,15617930.0,91905.0,45591.0,4685272.0,20168662.0,20011853.0,18729798.0,1282055.0,659300.0,1856.0,13315822.0,1108620.0,5935292.0,2515475.0,687281.0,488925.0,18353469.0,662772.0,38874540.0,19339838.0,1391896.0,13315822.0,9093707.0,4222115.0,06,2022-12-31
Colorado,5770790.0,37.3,36.5,38.1,4393409.0,233712.0,57022.0,185431.0,1273762.0,87598.0,47346.0,540105.0,3205413.0,3165225.0,3021742.0,143483.0,465900.0,1594.0,2278044.0,222051.0,1083618.0,481793.0,100044.0,76234.0,3006848.0,63953.0,5675719.0,2854730.0,195074.0,2278044.0,1427813.0,850231.0,08,2022-12-31
Connecticut,3611317.0,40.9,39.5,42.2,2522166.0,385407.0,9043.0,170945.0,627408.0,90213.0,52034.0,355692.0,1955341.0,1947575.0,1832525.0,115050.0,323700.0,1374.0,1409807.0,121525.0,573917.0,341203.0,81685.0,46421.0,1798193.0,63423.0,3567016.0,1742319.0,113188.0,1409807.0,911868.0,497939.0,09,2022-12-31
Delaware,993635.0,41.4,39.7,43.1,634244.0,218266.0,3309.0,40570.0,98696.0,79325.0,42180.0,107790.0,505728.0,501770.0,474455.0,27315.0,305200.0,1286.0,389000.0,62556.0,139213.0,75033.0,13180.0,13931.0,468881.0,7929.0,979853.0,473127.0,33286.0,389000.0,252505.0,136495.0,10,2022-12-31
District of Columbia,670587.0,34.8,34.6,34.9,265633.0,297101.0,2209.0,27067.0,77168.0,101722.0,71297.0,98039.0,400930.0,397662.0,369398.0,28264.0,705000.0,1817.0,315785.0,34587.0,124860.0,109410.0,48095.0,21167.0,366965.0,90524.0,661596.0,314159.0,24744.0,315785.0,130453.0,185332.0,11,2022-12-31
Florida,21634529.0,42.4,41.0,43.9,13807410.0,3355708.0,59197.0,609990.0,5738283.0,67917.0,38850.0,2725633.0,10629693.0,10555633.0,10023737.0,531896.0,292200.0,1444.0,8353441.0,1562516.0,3154240.0,1308569.0,372331.0,202326.0,9897435.0,128338.0,21300363.0,10407465.0,676258.0,8353441.0,5398152.0,2955289.0,12,2022-12-31
Georgia,10722325.0,37.2,36.0,38.4,5820019.0,3373948.0,37920.0,465487.0,1078457.0,71355.0,37836.0,1415573.0,5406476.0,5350069.0,5069418.0,280651.0,245900.0,1221.0,3946490.0,480290.0,1464589.0,669304.0,165134.0,108680.0,5010799.0,74368.0,10531900.0,5096959.0,394100.0,3946490.0,2628197.0,1318293.0,13,2022-12-31
Hawaii,1450589.0,39.9,38.5,41.5,333296.0,28665.0,4210.0,538970.0,159023.0,94814.0,42683.0,135941.0,760387.0,710984.0,675071.0,35913.0,764800.0,1868.0,483906.0,76967.0,227243.0,85984.0,25539.0,16217.0,704432.0,30495.0,1390760.0,683606.0,52020.0,483906.0,332605.0,151301.0,15,2022-12-31
Idaho,1854109.0,36.9,36.3,37.5,1574859.0,12781.0,22297.0,24987.0,242236.0,70214.0,34919.0,198788.0,912877.0,907617.0,873463.0,34154.0,331600.0,1061.0,675323.0,83554.0,244372.0,85760.0,20684.0,15407.0,862707.0,5443.0,1827859.0,916115.0,70544.0,675323.0,462093.0,213230.0,16,2022-12-31
Illinois,12757634.0,38.7,37.6,39.8,8388659.0,1774605.0,55819.0,738071.0,2275704.0,78433.0,43198.0,1467893.0,6697663.0,6678194.0,6280447.0,397747.0,239100.0,1179.0,4968761.0,458596.0,1924339.0,938097.0,214115.0,130899.0,6171891.0,434228.0,12588498.0,6202303.0,443967.0,4968761.0,3134103.0,1834658.0,17,2022-12-31
Indiana,6784403.0,38.0,36.8,39.1,5426227.0,640752.0,12465.0,168899.0,510984.0,67173.0,35578.0,810702.0,3446205.0,3441316.0,3286714.0,154602.0,183600.0,967.0,2653596.0,278114.0,815853.0,342003.0,69602.0,52190.0,3222821.0,23755.0,6687996.0,3306459.0,253969.0,2653596.0,1696018.0,957578.0,18,2022-12-31
Iowa,3188836.0,38.4,37.4,39.4,2769619.0,120619.0,10111.0,78940.0,208637.0,70571.0,37949.0,343141.0,1695226.0,1692129.0,1627434.0,64695.0,181600.0,914.0,1290139.0,126925.0,433380.0,148289.0,36031.0,27629.0,1598658.0,12308.0,3142658.0,1572753.0,119206.0,1290139.0,803276.0,486863.0,19,2022-12-31
Kansas,2935922.0,37.1,36.0,38.2,2341473.0,163581.0,22015.0,88513.0,369970.0,69747.0,38108.0,329870.0,1533709.0,1513506.0,1452870.0,60636.0,189300.0,986.0,1148635.0,129913.0,417263.0,185313.0,38167.0,27522.0,1445477.0,6334.0,2874745.0,1431011.0,113395.0,1148635.0,732890.0,415745.0,20,2022-12-31
Kentucky,4502935.0,39.1,37.8,40.4,3816997.0,360184.0,6821.0,69187.0,180481.0,60183.0,33515.0,704758.0,2147538.0,2133954.0,2025396.0,108558.0,177000.0,902.0,1769102.0,230100.0,478134.0,241185.0,56939.0,35681.0,1993847.0,14607.0,4422514.0,2178579.0,165160.0,1769102.0,1142472.0,626630.0,21,2022-12-31
Louisiana,4640546.0,37.6,36.5,38.7,2758714.0,1464582.0,24952.0,80363.0,255584.0,57852.0,32981.0,842038.0,2180175.0,2161343.0,2019199.0,142144.0,198300.0,996.0,1765264.0,315107.0,519481.0,206717.0,56332.0,33039.0,1995269.0,20087.0,4543264.0,2199505.0,177613.0,1765264.0,1120745.0,644519.0,22,2022-12-31
