NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,county,year
"Autauga County, Alabama",55639.0,38.6,37.3,40.3,42150.0,10866.0,155.0,649.0,1601.0,57982.0,29804.0,8394.0,26025.0,25316.0,24580.0,736.0,161200.0,1011.0,21559.0,2138.0,6320.0,3399.0,504.0,498.0,24949.0,109.0,54553.0,26244.0,2206.0,21559.0,15103.0,6456.0,01,001,2020-12-31
"Baldwin County, Alabama",218289.0,43.2,41.8,44.5,186504.0,19153.0,1514.0,2033.0,9947.0,61756.0,33751.0,19739.0,103116.0,102795.0,98768.0,4027.0,211600.0,1032.0,84047.0,32700.0,31444.0,13331.0,2845.0,2016.0,97098.0,30.0,215669.0,103821.0,7152.0,84047.0,56092.0,27955.0,01,003,2020-12-31
"Barbour County, Alabama",25026.0,40.1,38.1,43.1,11587.0,11929.0,88.0,122.0,1110.0,34990.0,20074.0,6312.0,9356.0,9356.0,8707.0,649.0,86500.0,587.0,9322.0,2735.0,1296.0,540.0,118.0,113.0,8555.0,5.0,22116.0,10362.0,763.0,9322.0,6083.0,3239.0,01,005,2020-12-31
"Bibb County, Alabama",22374.0,39.9,38.7,42.4,17138.0,5045.0,12.0,56.0,600.0,51721.0,22626.0,3755.0,8970.0,8970.0,8303.0,667.0,96400.0,693.0,7259.0,1978.0,1183.0,481.0,109.0,41.0,8107.0,0.0,20748.0,10507.0,707.0,7259.0,5276.0,1983.0,01,007,2020-12-31
"Blount County, Alabama",57755.0,41.0,39.9,42.2,54271.0,808.0,55.0,236.0,5362.0,48922.0,25457.0,7847.0,24133.0,24089.0,22836.0,1253.0,135300.0,666.0,21205.0,3199.0,3540.0,1382.0,222.0,132.0,22636.0,23.0,57274.0,28418.0,2182.0,21205.0,15035.0,6170.0,01,009,2020-12-31
"Bullock County, Alabama",10173.0,39.7,37.7,42.8,2663.0,6980.0,0.0,137.0,824.0,33866.0,20783.0,2865.0,4146.0,4146.0,4007.0,139.0,74800.0,559.0,3429.0,1162.0,413.0,152.0,104.0,28.0,3985.0,0.0,9791.0,5274.0,293.0,3429.0,2158.0,1271.0,01,011,2020-12-31
"Butler County, Alabama",19726.0,41.2,39.1,43.9,10183.0,8795.0,66.0,261.0,290.0,44850.0,23415.0,3796.0,8522.0,8522.0,7971.0,551.0,98100.0,627.0,6649.0,3470.0,1396.0,651.0,139.0,19.0,7894.0,16.0,19450.0,8913.0,732.0,6649.0,4574.0,2075.0,01,013,2020-12-31
"Calhoun County, Alabama",114324.0,39.5,38.2,41.1,83801.0,24190.0,358.0,925.0,4406.0,50128.0,26238.0,17556.0,52189.0,51674.0,47905.0,3769.0,121600.0,720.0,44572.0,9150.0,8296.0,4618.0,1093.0,883.0,47349.0,289.0,112733.0,53847.0,4019.0,44572.0,29120.0,15452.0,01,015,2020-12-31
"Cherokee County, Alabama",26035.0,46.8,45.7,47.9,23970.0,1250.0,150.0,26.0,432.0,42509.0,26231.0,3322.0,10754.0,10754.0,10310.0,444.0,138500.0,626.0,10836.0,5795.0,1202.0,743.0,399.0,132.0,10206.0,16.0,25768.0,12760.0,688.0,10836.0,7385.0,3451.0,01,019,2020-12-31
"Chilton County, Alabama",44147.0,39.5,38.3,40.5,36260.0,4268.0,504.0,195.0,3423.0,52141.0,25894.0,7397.0,18905.0,18905.0,17752.0,1153.0,104500.0,683.0,17140.0,2757.0,2471.0,1349.0,181.0,106.0,17573.0,0.0,43811.0,21306.0,1644.0,17140.0,12047.0,5093.0,01,021,2020-12-31
