NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,year
Mississippi,2988081.0,36.5,35.0,38.1,1768174.0,1116457.0,12896.0,28900.0,86507.0,39665.0,21057.0,651545.0,1352993.0,1342359.0,1203914.0,138445.0,103100.0,717.0,1096593.0,193111.0,251230.0,106977.0,25040.0,17753.0,1189806.0,4759.0,2921189.0,1400476.0,120515.0,1096593.0,749121.0,347472.0,28,2015-12-31
Missouri,6045448.0,38.2,36.8,39.6,4995527.0,697022.0,24951.0,106537.0,233046.0,48173.0,26259.0,915972.0,3053938.0,3034524.0,2807996.0,226528.0,138400.0,746.0,2364688.0,365174.0,685454.0,300193.0,67389.0,45873.0,2775023.0,41297.0,5932449.0,2889354.0,232616.0,2364688.0,1530006.0,834682.0,29,2015-12-31
Montana,1014699.0,39.7,38.6,40.9,904977.0,4757.0,65693.0,7187.0,33622.0,47169.0,26381.0,150586.0,521330.0,517807.0,485446.0,32361.0,193500.0,711.0,409394.0,79451.0,138099.0,44936.0,11867.0,8546.0,478238.0,3955.0,999213.0,499961.0,38484.0,409394.0,255470.0,153924.0,30,2015-12-31
Nebraska,1869365.0,36.2,35.1,37.5,1647551.0,88195.0,16319.0,38066.0,186268.0,52997.0,27882.0,231115.0,1020419.0,1015736.0,968134.0,47602.0,133200.0,726.0,736613.0,73198.0,238158.0,82229.0,20794.0,14655.0,956034.0,6814.0,1840934.0,912578.0,80185.0,736613.0,476627.0,259986.0,31,2015-12-31
Nevada,2798636.0,37.2,36.5,37.8,1929661.0,235721.0,31393.0,214846.0,770553.0,51847.0,26541.0,426337.0,1424596.0,1415779.0,1267312.0,148467.0,173700.0,973.0,1016709.0,175374.0,285510.0,102243.0,29472.0,16273.0,1251879.0,45505.0,2763700.0,1379424.0,112238.0,1016709.0,651954.0,364755.0,32,2015-12-31
New Hampshire,1324201.0,42.2,41.2,43.1,1241313.0,17439.0,2238.0,31364.0,42141.0,66779.0,34362.0,113840.0,742874.0,741543.0,698810.0,42733.0,237300.0,1000.0,520251.0,98699.0,202048.0,90834.0,16109.0,13755.0,682019.0,5775.0,1309057.0,644762.0,41029.0,520251.0,347378.0,172873.0,33,2015-12-31
New Jersey,8904413.0,39.4,37.8,40.9,6083940.0,1202300.0,18335.0,804989.0,1688008.0,72093.0,36582.0,944847.0,4702508.0,4695103.0,4281760.0,413343.0,315900.0,1192.0,3189486.0,388456.0,1387201.0,615746.0,148177.0,90732.0,4190538.0,464074.0,8796604.0,4271422.0,327833.0,3189486.0,2211531.0,977955.0,34,2015-12-31
New Mexico,2084117.0,37.0,35.5,38.5,1524911.0,43738.0,190528.0,28761.0,986972.0,44963.0,24012.0,429361.0,973891.0,964959.0,876035.0,88924.0,160300.0,777.0,763603.0,145962.0,202298.0,110788.0,21734.0,25255.0,871117.0,9671.0,2049702.0,1005177.0,84818.0,763603.0,495031.0,268572.0,35,2015-12-31
New York,19673174.0,38.1,36.5,39.7,12704637.0,3070392.0,74793.0,1570223.0,3619658.0,59269.0,33236.0,3005943.0,10107278.0,10083719.0,9254578.0,829141.0,283400.0,1132.0,7262279.0,909446.0,2604077.0,1433296.0,365654.0,193097.0,9064986.0,2521039.0,19427310.0,9382836.0,718890.0,7262279.0,4625960.0,2636319.0,36,2015-12-31
North Carolina,9845333.0,38.0,36.5,39.5,6839831.0,2115338.0,116143.0,244076.0,869908.0,46868.0,25920.0,1667465.0,4909108.0,4826193.0,4372773.0,453420.0,154900.0,797.0,3775581.0,641629.0,1213587.0,467519.0,101314.0,84345.0,4361591.0,48600.0,9649606.0,4645443.0,375999.0,3775581.0,2497993.0,1277588.0,37,2015-12-31
