NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,county,year
"Monroe County, Alabama",21745.0,41.7,39.4,43.4,11973.0,9029.0,274.0,116.0,286.0,26036.0,17264.0,7249.0,7845.0,7845.0,6154.0,1691.0,88000.0,499.0,8207.0,3168.0,1079.0,576.0,67.0,121.0,6111.0,16.0,21518.0,10249.0,828.0,8207.0,5107.0,3100.0,01,099,2017-12-31
"Lawrence County, Alabama",33288.0,42.0,40.6,42.8,25978.0,3801.0,1730.0,18.0,701.0,43779.0,22419.0,5490.0,13459.0,13448.0,12476.0,972.0,98700.0,531.0,13056.0,2291.0,1671.0,605.0,62.0,42.0,12300.0,15.0,33050.0,16031.0,1129.0,13056.0,9325.0,3731.0,01,079,2017-12-31
"Lee County, Alabama",156597.0,31.0,29.7,32.4,109481.0,36139.0,166.0,6000.0,5813.0,47564.0,26170.0,33132.0,76791.0,76048.0,71677.0,4371.0,157100.0,818.0,59001.0,8086.0,18261.0,9345.0,1694.0,2922.0,70876.0,532.0,154952.0,75941.0,5659.0,59001.0,37148.0,21853.0,01,081,2017-12-31
"Marion County, Alabama",30058.0,44.1,42.3,45.3,28032.0,1003.0,128.0,96.0,741.0,35719.0,21835.0,5175.0,12619.0,12590.0,11899.0,691.0,87200.0,517.0,12453.0,2358.0,1784.0,970.0,104.0,20.0,11629.0,5.0,29540.0,14538.0,945.0,12453.0,8780.0,3673.0,01,093,2017-12-31
"Pickens County, Alabama",20170.0,42.1,40.3,44.1,11305.0,8189.0,22.0,13.0,826.0,36220.0,20089.0,4340.0,7861.0,7861.0,6903.0,958.0,91800.0,429.0,7620.0,1918.0,1248.0,355.0,46.0,30.0,6775.0,62.0,18987.0,9525.0,663.0,7620.0,4929.0,2691.0,01,107,2017-12-31
"Sumter County, Alabama",13084.0,35.9,34.5,38.2,3235.0,9268.0,68.0,392.0,34.0,21663.0,14739.0,4398.0,5038.0,5025.0,4353.0,672.0,69500.0,534.0,5073.0,1760.0,872.0,537.0,52.0,41.0,4239.0,13.0,12946.0,5981.0,465.0,5073.0,2738.0,2335.0,01,119,2017-12-31
"Jefferson County, Alabama",659460.0,37.6,35.9,39.0,343449.0,280804.0,1550.0,10187.0,24692.0,49321.0,29456.0,113368.0,326235.0,325783.0,300739.0,25044.0,149000.0,847.0,261390.0,44720.0,86862.0,34310.0,13878.0,7629.0,295958.0,2776.0,652283.0,308142.0,26582.0,261390.0,165380.0,96010.0,01,073,2017-12-31
"Choctaw County, Alabama",13188.0,45.8,44.2,47.6,7456.0,5583.0,4.0,8.0,71.0,32122.0,20994.0,2903.0,4769.0,4769.0,4301.0,468.0,69000.0,521.0,5463.0,1866.0,745.0,276.0,45.0,34.0,4230.0,0.0,13060.0,6204.0,338.0,5463.0,3594.0,1869.0,01,023,2017-12-31
"Franklin County, Alabama",31507.0,37.7,35.3,40.7,27055.0,1528.0,291.0,117.0,5146.0,39501.0,19314.0,7175.0,13650.0,13648.0,12534.0,1114.0,87600.0,596.0,11533.0,2599.0,1722.0,788.0,142.0,126.0,12456.0,27.0,31272.0,15715.0,1099.0,11533.0,8003.0,3530.0,01,059,2017-12-31
"Marengo County, Alabama",19743.0,42.1,39.8,43.2,8954.0,10689.0,11.0,0.0,88.0,32255.0,22996.0,5000.0,7620.0,7620.0,6645.0,975.0,88100.0,552.0,7975.0,2332.0,1315.0,611.0,83.0,80.0,6542.0,0.0,19526.0,9129.0,628.0,7975.0,4617.0,3358.0,01,091,2017-12-31
"Russell County, Alabama",58480.0,35.3,33.7,37.4,29568.0,24946.0,213.0,424.0,3050.0,38988.0,21279.0,12024.0,26620.0,25424.0,22959.0,2465.0,114700.0,759.0,22690.0,4480.0,4092.0,2012.0,251.0,181.0,23772.0,62.0,56790.0,26988.0,2930.0,22690.0,14481.0,8209.0,01,113,2017-12-31
"Cherokee County, Alabama",25855.0,46.1,45.4,46.5,24072.0,1287.0,125.0,50.0,409.0,40041.0,23010.0,4104.0,10436.0,10436.0,9879.0,557.0,116300.0,596.0,10795.0,5671.0,1237.0,710.0,280.0,117.0,9731.0,38.0,25561.0,12716.0,693.0,10795.0,7566.0,3229.0,01,019,2017-12-31
"Covington County, Alabama",37519.0,43.4,41.6,45.1,31758.0,4937.0,124.0,158.0,586.0,39467.0,22431.0,6491.0,16473.0,16445.0,14686.0,1759.0,96200.0,589.0,15285.0,3605.0,2740.0,1028.0,265.0,66.0,14532.0,26.0,36970.0,17804.0,1506.0,15285.0,10316.0,4969.0,01,039,2017-12-31
"Crenshaw County, Alabama",13866.0,41.4,40.1,43.6,9911.0,3271.0,113.0,194.0,253.0,38937.0,21580.0,2399.0,6142.0,6089.0,5700.0,389.0,76800.0,532.0,5358.0,1417.0,1143.0,377.0,21.0,21.0,5611.0,6.0,13666.0,6673.0,517.0,5358.0,3601.0,1757.0,01,041,2017-12-31
"Dallas County, Alabama",40755.0,39.3,37.0,40.3,11497.0,28677.0,16.0,183.0,409.0,30065.0,18248.0,12795.0,16791.0,16763.0,14461.0,2302.0,80800.0,599.0,16487.0,3822.0,2181.0,1275.0,252.0,101.0,14063.0,28.0,40454.0,18648.0,1597.0,16487.0,10318.0,6169.0,01,047,2017-12-31
"Lauderdale County, Alabama",92590.0,41.5,39.7,43.1,80456.0,9316.0,339.0,626.0,2285.0,44888.0,25803.0,14701.0,42727.0,42655.0,39857.0,2798.0,126800.0,633.0,38634.0,5903.0,8710.0,4096.0,667.0,757.0,39262.0,66.0,91721.0,43857.0,2852.0,38634.0,24532.0,14102.0,01,077,2017-12-31
"Lowndes County, Alabama",10362.0,40.7,39.0,42.6,2559.0,7722.0,9.0,0.0,71.0,29785.0,18976.0,3095.0,3979.0,3979.0,3533.0,446.0,63000.0,624.0,4309.0,849.0,671.0,246.0,33.0,21.0,3421.0,15.0,10268.0,4843.0,427.0,4309.0,2997.0,1312.0,01,085,2017-12-31
