NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,county,year
"Autauga County, Alabama",58239.0,38.5,37.9,39.2,43755.0,11470.0,98.0,647.0,1775.0,62660.0,30968.0,7847.0,27550.0,26623.0,25871.0,752.0,164900.0,1085.0,21856.0,2314.0,6507.0,3649.0,524.0,464.0,26458.0,144.0,56955.0,27312.0,2200.0,21856.0,15321.0,6535.0,01,001,2021-12-31
"Baldwin County, Alabama",227131.0,43.4,42.0,44.6,192034.0,19895.0,1259.0,2175.0,10634.0,64346.0,35384.0,20598.0,108873.0,108361.0,104367.0,3994.0,226600.0,1093.0,87190.0,34573.0,33379.0,13884.0,3059.0,2240.0,102650.0,133.0,224339.0,108465.0,7401.0,87190.0,58062.0,29128.0,01,003,2021-12-31
"Barbour County, Alabama",25259.0,40.2,38.9,42.6,11495.0,11985.0,77.0,106.0,1176.0,36422.0,21325.0,5890.0,9369.0,9369.0,8561.0,808.0,89500.0,605.0,9088.0,2579.0,1212.0,520.0,164.0,111.0,8461.0,7.0,22295.0,10501.0,754.0,9088.0,5860.0,3228.0,01,005,2021-12-31
"Bibb County, Alabama",22412.0,39.7,38.9,41.6,17020.0,5003.0,21.0,46.0,634.0,54277.0,24787.0,3558.0,9107.0,9107.0,8223.0,884.0,102900.0,744.0,7083.0,1930.0,1276.0,476.0,93.0,68.0,7994.0,0.0,21000.0,10990.0,726.0,7083.0,5018.0,2065.0,01,007,2021-12-31
"Blount County, Alabama",58884.0,41.1,39.7,42.5,54439.0,760.0,189.0,216.0,5612.0,52830.0,27309.0,7720.0,25844.0,25798.0,24244.0,1554.0,138100.0,691.0,21300.0,3227.0,3783.0,1812.0,286.0,180.0,23918.0,30.0,58437.0,29307.0,2125.0,21300.0,15213.0,6087.0,01,009,2021-12-31
"Bullock County, Alabama",10386.0,38.7,37.5,40.0,2572.0,7164.0,0.0,46.0,888.0,29063.0,21012.0,3065.0,3936.0,3936.0,3818.0,118.0,72600.0,473.0,3419.0,1103.0,560.0,167.0,34.0,43.0,3756.0,0.0,10028.0,5377.0,332.0,3419.0,2077.0,1342.0,01,011,2021-12-31
"Butler County, Alabama",19181.0,41.2,39.1,43.7,9894.0,8592.0,47.0,280.0,308.0,45236.0,23897.0,3430.0,8100.0,8097.0,7567.0,530.0,93500.0,666.0,6531.0,3311.0,1087.0,636.0,132.0,24.0,7473.0,9.0,18922.0,8837.0,626.0,6531.0,4317.0,2214.0,01,013,2021-12-31
"Calhoun County, Alabama",116425.0,39.7,38.5,40.9,84775.0,25017.0,256.0,876.0,4650.0,50977.0,26440.0,19870.0,53147.0,52775.0,49073.0,3702.0,123200.0,752.0,44295.0,8817.0,9159.0,4535.0,971.0,1009.0,48508.0,299.0,114999.0,55133.0,3997.0,44295.0,27960.0,16335.0,01,015,2021-12-31
"Chambers County, Alabama",34834.0,42.0,40.2,43.6,19827.0,13977.0,72.0,358.0,946.0,47232.0,24840.0,5177.0,15982.0,15982.0,15478.0,504.0,107000.0,790.0,13123.0,3310.0,2383.0,846.0,115.0,46.0,14891.0,49.0,34472.0,16567.0,1242.0,13123.0,9091.0,4032.0,01,017,2021-12-31
"Cherokee County, Alabama",24975.0,46.7,45.7,47.5,22846.0,1167.0,67.0,37.0,442.0,43475.0,26867.0,3683.0,10277.0,10277.0,9794.0,483.0,141000.0,682.0,9692.0,5042.0,1148.0,787.0,302.0,127.0,9625.0,65.0,24723.0,12248.0,694.0,9692.0,6430.0,3262.0,01,019,2021-12-31
"Chilton County, Alabama",44857.0,39.8,39.2,40.3,36385.0,3959.0,633.0,210.0,3567.0,56243.0,26426.0,6950.0,18899.0,18899.0,17690.0,1209.0,117300.0,746.0,16562.0,2845.0,2413.0,1471.0,135.0,114.0,17536.0,0.0,44511.0,21662.0,1652.0,16562.0,11814.0,4748.0,01,021,2021-12-31
