NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,county,year
"St. Clair County, Alabama",87306.0,40.3,39.3,41.7,76224.0,8252.0,315.0,737.0,2089.0,54887.0,24861.0,11268.0,41104.0,41069.0,38881.0,2188.0,148200.0,748.0,32172.0,4456.0,6805.0,2550.0,340.0,296.0,38109.0,83.0,85382.0,41939.0,3379.0,32172.0,23270.0,8902.0,01,115,2018-12-31
"Cullman County, Alabama",82313.0,40.6,39.7,41.8,78392.0,998.0,348.0,334.0,3543.0,42558.0,22980.0,12831.0,34955.0,34906.0,33003.0,1903.0,124100.0,685.0,30730.0,6922.0,5047.0,2076.0,572.0,171.0,32668.0,34.0,81446.0,40017.0,2908.0,30730.0,21303.0,9427.0,01,043,2018-12-31
"Houston County, Alabama",104352.0,39.8,37.8,41.5,72387.0,28078.0,305.0,873.0,3437.0,45496.0,25990.0,18913.0,47797.0,47645.0,44291.0,3354.0,130500.0,741.0,39253.0,7934.0,9505.0,4015.0,1101.0,455.0,43707.0,41.0,103510.0,49452.0,3948.0,39253.0,25733.0,13520.0,01,069,2018-12-31
"Tuscaloosa County, Alabama",206213.0,32.7,31.3,34.1,132877.0,65260.0,393.0,3302.0,7437.0,52221.0,26064.0,34058.0,99830.0,99707.0,93450.0,6257.0,166000.0,843.0,72379.0,18197.0,23410.0,10342.0,1930.0,2987.0,92238.0,283.0,204693.0,98656.0,7498.0,72379.0,47281.0,25098.0,01,125,2018-12-31
"Coffee County, Alabama",51288.0,39.3,38.1,40.1,38923.0,8829.0,617.0,666.0,3549.0,53155.0,27577.0,7604.0,24240.0,23096.0,21725.0,1371.0,149100.0,782.0,19789.0,3299.0,5439.0,2225.0,310.0,201.0,22274.0,0.0,49581.0,23953.0,1892.0,19789.0,13583.0,6206.0,01,031,2018-12-31
"Chilton County, Alabama",43930.0,38.6,37.0,40.1,36599.0,4148.0,123.0,190.0,3416.0,45182.0,24611.0,8034.0,18836.0,18836.0,17500.0,1336.0,102200.0,684.0,16751.0,2835.0,2728.0,1120.0,267.0,104.0,17207.0,0.0,43609.0,21462.0,1747.0,16751.0,11926.0,4825.0,01,021,2018-12-31
"Coosa County, Alabama",10855.0,46.9,46.0,48.5,7133.0,3713.0,9.0,0.0,50.0,38301.0,22963.0,1459.0,4363.0,4363.0,4110.0,253.0,87900.0,554.0,4103.0,2455.0,706.0,226.0,21.0,0.0,3995.0,18.0,10465.0,5170.0,206.0,4103.0,2664.0,1439.0,01,037,2018-12-31
"Etowah County, Alabama",102939.0,41.3,39.8,43.1,82710.0,16212.0,751.0,739.0,3880.0,44023.0,24065.0,17524.0,45330.0,45312.0,42367.0,2945.0,109900.0,669.0,38777.0,8928.0,7837.0,3483.0,992.0,455.0,41319.0,86.0,102146.0,49337.0,3362.0,38777.0,26139.0,12638.0,01,055,2018-12-31
"Lamar County, Alabama",13933.0,44.5,43.8,45.8,12187.0,1558.0,0.0,0.0,218.0,36756.0,21666.0,2916.0,5803.0,5803.0,5338.0,465.0,77200.0,392.0,5974.0,1416.0,823.0,360.0,26.0,26.0,5283.0,36.0,13767.0,6697.0,470.0,5974.0,4052.0,1922.0,01,075,2018-12-31
"Butler County, Alabama",20025.0,40.7,39.3,42.3,10414.0,9055.0,2.0,231.0,67.0,39109.0,20430.0,4640.0,8464.0,8452.0,7885.0,567.0,88300.0,606.0,6708.0,3318.0,1344.0,655.0,136.0,100.0,7769.0,0.0,19734.0,9229.0,742.0,6708.0,4429.0,2279.0,01,013,2018-12-31
