NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,county,year
"St. Clair County, Alabama",83530.0,38.8,38.0,39.5,74235.0,7415.0,406.0,519.0,1733.0,49652.0,23144.0,12026.0,40008.0,39808.0,35564.0,4244.0,132600.0,736.0,30970.0,4366.0,5728.0,2143.0,356.0,280.0,34797.0,51.0,81310.0,39874.0,3350.0,30970.0,23177.0,7793.0,01,115,2012-12-31
"Baldwin County, Alabama",183226.0,41.2,40.1,42.3,158259.0,17016.0,1038.0,1347.0,7915.0,50706.0,26769.0,24002.0,88882.0,88578.0,81065.0,7513.0,172900.0,874.0,72751.0,31233.0,23840.0,7880.0,2124.0,1463.0,79588.0,214.0,181069.0,87583.0,6820.0,72751.0,52117.0,20634.0,01,003,2012-12-31
"Houston County, Alabama",101459.0,38.3,37.2,39.3,71132.0,26052.0,300.0,865.0,2950.0,41828.0,23375.0,17723.0,48374.0,48051.0,44319.0,3732.0,122000.0,641.0,38732.0,6578.0,8433.0,3268.0,951.0,484.0,43767.0,143.0,100142.0,47834.0,4181.0,38732.0,26289.0,12443.0,01,069,2012-12-31
"Tuscaloosa County, Alabama",194254.0,31.4,30.0,32.9,130821.0,58198.0,482.0,2499.0,5860.0,43996.0,22487.0,35496.0,93451.0,93344.0,85899.0,7445.0,152300.0,760.0,67919.0,16971.0,18105.0,8324.0,2071.0,1909.0,84194.0,441.0,192344.0,92508.0,7120.0,67919.0,43456.0,24463.0,01,125,2012-12-31
"Coffee County, Alabama",49966.0,37.8,36.4,39.3,38651.0,8663.0,440.0,654.0,3070.0,44626.0,23441.0,8438.0,22782.0,20917.0,19332.0,1585.0,126400.0,638.0,19002.0,3382.0,4668.0,2214.0,439.0,222.0,20739.0,25.0,47452.0,22698.0,2154.0,19002.0,13089.0,5913.0,01,031,2012-12-31
"Pike County, Alabama",32750.0,31.3,30.0,33.4,19268.0,11915.0,258.0,616.0,743.0,31702.0,19380.0,8353.0,15834.0,15779.0,14244.0,1535.0,101600.0,587.0,12987.0,2285.0,2703.0,1148.0,142.0,288.0,13890.0,84.0,32551.0,15372.0,931.0,12987.0,7735.0,5252.0,01,109,2012-12-31
"Chambers County, Alabama",34228.0,41.4,39.9,43.2,20171.0,13409.0,17.0,178.0,555.0,32181.0,18478.0,7863.0,15488.0,15484.0,12999.0,2485.0,78000.0,617.0,13634.0,3366.0,1738.0,644.0,123.0,99.0,12700.0,10.0,33872.0,16068.0,1138.0,13634.0,9002.0,4632.0,01,017,2012-12-31
"Montgomery County, Alabama",229376.0,34.7,33.0,36.3,93483.0,125397.0,891.0,4679.0,7887.0,44401.0,24765.0,45028.0,111837.0,109740.0,100191.0,9549.0,123500.0,797.0,88749.0,13207.0,28033.0,12600.0,2756.0,1869.0,99515.0,790.0,222860.0,104185.0,9539.0,88749.0,56784.0,31965.0,01,101,2012-12-31
"Henry County, Alabama",17275.0,42.9,41.9,44.2,11888.0,4812.0,0.0,349.0,389.0,40680.0,20897.0,2727.0,7536.0,7493.0,6543.0,950.0,100400.0,537.0,6905.0,1973.0,1188.0,587.0,91.0,37.0,6351.0,29.0,17057.0,8130.0,565.0,6905.0,4873.0,2032.0,01,067,2012-12-31
"Tallapoosa County, Alabama",41534.0,41.8,41.1,42.8,29403.0,11347.0,52.0,19.0,1006.0,38611.0,21609.0,7983.0,18653.0,18653.0,16497.0,2156.0,94600.0,580.0,16339.0,5707.0,3057.0,973.0,300.0,163.0,16214.0,76.0,40938.0,19771.0,1450.0,16339.0,11492.0,4847.0,01,123,2012-12-31
