NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,year
Mississippi,2986220.0,36.9,35.4,38.4,1755471.0,1122576.0,13258.0,28859.0,88261.0,42009.0,22500.0,620007.0,1349864.0,1339614.0,1221828.0,117786.0,109300.0,740.0,1103514.0,204745.0,259993.0,112174.0,26246.0,18905.0,1208408.0,4135.0,2921628.0,1399590.0,115864.0,1103514.0,745382.0,358132.0,28,2017-12-31
Missouri,6075300.0,38.4,37.0,39.8,5004537.0,703061.0,25933.0,112959.0,244420.0,51542.0,28282.0,861679.0,3062657.0,3043312.0,2867393.0,175919.0,145400.0,784.0,2386203.0,377047.0,718198.0,318072.0,70213.0,49226.0,2835065.0,41877.0,5961514.0,2906177.0,228853.0,2386203.0,1537957.0,848246.0,29,2017-12-31
Montana,1029862.0,39.8,38.8,40.8,916664.0,4438.0,66865.0,7448.0,36626.0,50801.0,28706.0,144198.0,526388.0,523071.0,497995.0,25076.0,209100.0,751.0,419975.0,81124.0,145089.0,49649.0,12630.0,8940.0,490818.0,3721.0,1014596.0,507639.0,38590.0,419975.0,260749.0,159226.0,30,2017-12-31
Nebraska,1893921.0,36.3,35.2,37.5,1663612.0,89718.0,16012.0,42208.0,198300.0,56675.0,29866.0,220330.0,1031005.0,1026097.0,987216.0,38881.0,142400.0,773.0,748405.0,75771.0,251182.0,88669.0,21989.0,15612.0,974657.0,6629.0,1865028.0,926260.0,80150.0,748405.0,482941.0,265464.0,31,2017-12-31
Nevada,2887725.0,37.7,37.0,38.3,1936453.0,253013.0,32426.0,232502.0,814305.0,55434.0,28450.0,405263.0,1465320.0,1457643.0,1341358.0,116285.0,216400.0,1017.0,1052249.0,168173.0,306611.0,111435.0,30932.0,17143.0,1323151.0,45950.0,2852693.0,1422204.0,111870.0,1052249.0,671449.0,380800.0,32,2017-12-31
New Hampshire,1331848.0,42.7,41.5,43.8,1244260.0,18632.0,2148.0,33313.0,45266.0,71305.0,36914.0,104470.0,748779.0,746990.0,713424.0,33566.0,244900.0,1052.0,526710.0,100909.0,209224.0,97891.0,18073.0,13370.0,696499.0,6059.0,1314875.0,649037.0,40495.0,526710.0,350658.0,176052.0,33,2017-12-31
New Jersey,8960161.0,39.6,38.0,41.2,6085474.0,1207356.0,18006.0,844105.0,1764520.0,76475.0,39069.0,938252.0,4724242.0,4716191.0,4388024.0,328167.0,321100.0,1249.0,3199111.0,395944.0,1439971.0,658970.0,154079.0,94816.0,4300873.0,493428.0,8854377.0,4301869.0,323435.0,3199111.0,2217279.0,981832.0,34,2017-12-31
New Mexico,2084828.0,37.3,35.9,38.9,1547843.0,42187.0,197191.0,29991.0,1004103.0,46718.0,25257.0,420293.0,962123.0,952911.0,879201.0,73710.0,163900.0,809.0,770435.0,157355.0,208790.0,115064.0,22601.0,24839.0,875493.0,9801.0,2050101.0,1004772.0,80477.0,770435.0,491535.0,278900.0,35,2017-12-31
Alabama,4850771.0,38.7,37.2,40.1,3317702.0,1287167.0,25098.0,62815.0,198375.0,46472.0,25746.0,849699.0,2233209.0,2220900.0,2055509.0,165391.0,132100.0,747.0,1856695.0,374431.0,503930.0,216001.0,49452.0,34195.0,2030100.0,7433.0,4770692.0,2293285.0,178994.0,1856695.0,1233863.0,622832.0,01,2017-12-31
Alaska,738565.0,33.9,33.4,34.4,481971.0,23702.0,104995.0,45604.0,50162.0,76114.0,35065.0,73380.0,400622.0,383593.0,354045.0,29548.0,261900.0,1200.0,252536.0,61401.0,88308.0,35770.0,8878.0,4865.0,360701.0,5453.0,714038.0,365582.0,33010.0,252536.0,168265.0,84271.0,02,2017-12-31
Arizona,6809946.0,37.2,35.9,38.5,5277661.0,292831.0,300182.0,213417.0,2103523.0,53510.0,27964.0,1128046.0,3197116.0,3179802.0,2953891.0,225911.0,193200.0,972.0,2482311.0,459583.0,802435.0,347309.0,79689.0,55224.0,2916850.0,58267.0,6701990.0,3293574.0,263982.0,2482311.0,1622615.0,859696.0,04,2017-12-31
