NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,county,year
"St. Clair County, Alabama",85242.0,39.5,38.6,40.7,75106.0,7952.0,350.0,577.0,1861.0,51317.0,23863.0,13363.0,40002.0,39919.0,36138.0,3781.0,135200.0,732.0,31673.0,4045.0,5995.0,2264.0,420.0,408.0,35506.0,53.0,83336.0,40970.0,3482.0,31673.0,22995.0,8678.0,01,115,2014-12-31
"Baldwin County, Alabama",191205.0,41.8,40.7,42.8,165673.0,17907.0,999.0,1256.0,8630.0,50183.0,26851.0,25988.0,91667.0,91386.0,83530.0,7856.0,168800.0,882.0,73058.0,32505.0,25444.0,9188.0,2258.0,1257.0,82134.0,147.0,188944.0,91434.0,7051.0,73058.0,50624.0,22434.0,01,003,2014-12-31
"Houston County, Alabama",103079.0,38.7,37.4,39.9,72001.0,26960.0,390.0,845.0,3251.0,41077.0,23492.0,18730.0,48551.0,48337.0,44436.0,3901.0,121600.0,682.0,39464.0,6380.0,9111.0,3456.0,923.0,500.0,43969.0,171.0,102052.0,48740.0,4114.0,39464.0,26351.0,13113.0,01,069,2014-12-31
"Tuscaloosa County, Alabama",198670.0,31.6,30.4,32.9,132211.0,60376.0,368.0,2802.0,6319.0,46448.0,23124.0,34729.0,95201.0,95132.0,87331.0,7801.0,154500.0,782.0,68103.0,18137.0,19971.0,9048.0,2003.0,2204.0,85594.0,526.0,197084.0,94924.0,7253.0,68103.0,45044.0,23059.0,01,125,2014-12-31
"Coffee County, Alabama",50726.0,38.2,36.9,39.6,39064.0,8671.0,445.0,696.0,3236.0,45558.0,24204.0,9403.0,23203.0,21690.0,20114.0,1576.0,137000.0,676.0,19086.0,3562.0,4891.0,2346.0,495.0,243.0,21112.0,13.0,48624.0,23477.0,2193.0,19086.0,12973.0,6113.0,01,031,2014-12-31
"Pike County, Alabama",33216.0,31.1,30.0,32.8,19497.0,12103.0,258.0,724.0,750.0,32798.0,19424.0,8513.0,16486.0,16447.0,14821.0,1626.0,101900.0,592.0,12909.0,2605.0,2851.0,1124.0,193.0,379.0,14425.0,80.0,33005.0,15702.0,962.0,12909.0,7987.0,4922.0,01,109,2014-12-31
"Chambers County, Alabama",34091.0,43.1,42.0,43.8,19771.0,13722.0,61.0,214.0,158.0,32835.0,21240.0,8051.0,15134.0,15126.0,13210.0,1916.0,82400.0,664.0,13901.0,3043.0,1855.0,768.0,196.0,92.0,13086.0,11.0,33750.0,16066.0,1097.0,13901.0,8818.0,5083.0,01,017,2014-12-31
"Montgomery County, Alabama",228850.0,34.9,33.4,36.5,90109.0,127389.0,593.0,5216.0,7956.0,44830.0,25089.0,48575.0,110621.0,108763.0,99057.0,9706.0,123100.0,816.0,89143.0,13460.0,27946.0,13090.0,2953.0,2037.0,98309.0,823.0,223149.0,104673.0,9438.0,89143.0,57018.0,32125.0,01,101,2014-12-31
"Henry County, Alabama",17270.0,43.1,41.8,45.0,12050.0,4777.0,0.0,218.0,418.0,42926.0,22682.0,2526.0,7465.0,7465.0,6635.0,830.0,93900.0,570.0,6900.0,2034.0,1137.0,804.0,104.0,17.0,6419.0,27.0,17079.0,8156.0,532.0,6900.0,4709.0,2191.0,01,067,2014-12-31
"Tallapoosa County, Alabama",41295.0,42.5,42.0,43.5,29076.0,11457.0,92.0,5.0,1036.0,38644.0,21034.0,8589.0,18096.0,18096.0,16236.0,1860.0,101200.0,581.0,16437.0,5637.0,3354.0,1300.0,290.0,147.0,15986.0,65.0,40739.0,19645.0,1433.0,16437.0,11418.0,5019.0,01,123,2014-12-31
"Coosa County, Alabama",11247.0,44.8,44.0,45.5,7549.0,3524.0,7.0,0.0,238.0,32340.0,17749.0,2190.0,4863.0,4863.0,3893.0,970.0,73100.0,612.0,4446.0,2032.0,434.0,257.0,28.0,26.0,3735.0,28.0,10953.0,5479.0,315.0,4446.0,2875.0,1571.0,01,037,2014-12-31
"Dale County, Alabama",50013.0,36.6,34.1,38.9,37509.0,9712.0,192.0,599.0,2929.0,44473.0,22368.0,9114.0,23941.0,21535.0,19212.0,2323.0,103300.0,621.0,19470.0,3323.0,3709.0,1462.0,330.0,87.0,21211.0,33.0,47156.0,22316.0,2016.0,19470.0,12958.0,6512.0,01,045,2014-12-31
"Hale County, Alabama",15393.0,40.6,38.2,42.5,6133.0,8995.0,36.0,41.0,164.0,30839.0,18774.0,4213.0,6028.0,6019.0,5210.0,809.0,86800.0,442.0,5931.0,1715.0,1070.0,264.0,89.0,26.0,5117.0,2.0,15100.0,7088.0,562.0,5931.0,3932.0,1999.0,01,065,2014-12-31
"Etowah County, Alabama",104126.0,40.5,39.2,41.9,84904.0,16000.0,373.0,696.0,3669.0,38467.0,20445.0,20059.0,45133.0,44987.0,40153.0,4834.0,100400.0,627.0,40001.0,7506.0,6969.0,3004.0,762.0,311.0,39201.0,124.0,102957.0,49833.0,3785.0,40001.0,27577.0,12424.0,01,055,2014-12-31
"DeKalb County, Alabama",71074.0,38.8,37.7,40.0,62960.0,1279.0,893.0,206.0,9922.0,37977.0,18416.0,14128.0,30392.0,30391.0,27498.0,2893.0,95300.0,528.0,24743.0,6300.0,3174.0,1702.0,290.0,158.0,27185.0,6.0,70405.0,34923.0,2705.0,24743.0,17854.0,6889.0,01,049,2014-12-31
"Escambia County, Alabama",38042.0,39.4,38.3,40.4,23633.0,12361.0,1262.0,52.0,768.0,31422.0,16673.0,9309.0,14826.0,14658.0,12287.0,2371.0,88000.0,579.0,13737.0,2694.0,2218.0,755.0,209.0,60.0,12307.0,67.0,35669.0,17389.0,1443.0,13737.0,9464.0,4273.0,01,053,2014-12-31
"Lamar County, Alabama",14268.0,42.6,42.7,42.5,12460.0,1659.0,37.0,2.0,195.0,36021.0,19094.0,3195.0,6142.0,6117.0,5526.0,591.0,66800.0,473.0,6147.0,1176.0,696.0,356.0,79.0,20.0,5479.0,12.0,14104.0,6759.0,481.0,6147.0,4497.0,1650.0,01,075,2014-12-31
"Randolph County, Alabama",22724.0,42.0,40.4,43.8,17491.0,4555.0,39.0,36.0,658.0,36498.0,19324.0,5191.0,9634.0,9610.0,8515.0,1095.0,89700.0,633.0,9016.0,2933.0,1175.0,686.0,42.0,24.0,8331.0,37.0,22441.0,11005.0,759.0,9016.0,6213.0,2803.0,01,111,2014-12-31
"Butler County, Alabama",20523.0,40.5,38.8,42.2,11204.0,8975.0,25.0,118.0,233.0,31571.0,18115.0,5239.0,8845.0,8823.0,7748.0,1075.0,76000.0,581.0,8253.0,1681.0,1162.0,635.0,108.0,106.0,7661.0,0.0,20261.0,9460.0,795.0,8253.0,5384.0,2869.0,01,013,2014-12-31
"Mobile County, Alabama",414045.0,36.9,35.6,38.2,249439.0,144637.0,2801.0,7953.0,10710.0,43844.0,23009.0,80412.0,191763.0,190838.0,169695.0,21143.0,124500.0,773.0,154400.0,25877.0,37981.0,13742.0,3832.0,2584.0,167645.0,980.0,406489.0,192452.0,16705.0,154400.0,103593.0,50807.0,01,097,2014-12-31
"Perry County, Alabama",10203.0,36.3,35.0,39.1,3110.0,6974.0,2.0,32.0,88.0,25528.0,12988.0,3534.0,3182.0,3165.0,2596.0,569.0,61700.0,478.0,3263.0,1442.0,315.0,203.0,15.0,35.0,2499.0,6.0,10002.0,4609.0,450.0,3263.0,2333.0,930.0,01,105,2014-12-31
"Walker County, Alabama",66211.0,42.4,41.3,43.5,60224.0,3764.0,154.0,225.0,1438.0,36712.0,20580.0,14997.0,27722.0,27661.0,24045.0,3616.0,81600.0,598.0,25571.0,5201.0,3078.0,1259.0,438.0,143.0,23553.0,78.0,65423.0,31703.0,2423.0,25571.0,18234.0,7337.0,01,127,2014-12-31
"Cleburne County, Alabama",14990.0,41.3,40.8,41.5,14095.0,430.0,53.0,69.0,331.0,37008.0,19736.0,2691.0,6399.0,6399.0,5849.0,550.0,101000.0,604.0,5639.0,1059.0,589.0,320.0,142.0,38.0,5711.0,6.0,14837.0,7285.0,507.0,5639.0,4006.0,1633.0,01,029,2014-12-31
"Conecuh County, Alabama",12985.0,43.6,42.5,44.4,6778.0,5821.0,71.0,10.0,206.0,24433.0,15441.0,4256.0,4893.0,4893.0,3587.0,1306.0,65800.0,521.0,5030.0,2036.0,394.0,289.0,50.0,10.0,3517.0,0.0,12928.0,6137.0,468.0,5030.0,3314.0,1716.0,01,035,2014-12-31
"Greene County, Alabama",8798.0,42.5,41.3,44.5,1559.0,7107.0,34.0,10.0,39.0,22170.0,13956.0,3204.0,3315.0,3315.0,2456.0,859.0,69100.0,434.0,3282.0,1709.0,476.0,157.0,42.0,3.0,2432.0,59.0,8750.0,4098.0,278.0,3282.0,1984.0,1298.0,01,063,2014-12-31
"Barbour County, Alabama",27119.0,38.3,36.5,41.6,12806.0,12565.0,48.0,204.0,1283.0,35634.0,17350.0,5832.0,10764.0,10764.0,9237.0,1527.0,89500.0,608.0,9145.0,2688.0,1481.0,840.0,178.0,64.0,9108.0,9.0,24251.0,11774.0,1055.0,9145.0,6003.0,3142.0,01,005,2014-12-31
"Bibb County, Alabama",22653.0,40.0,37.7,41.5,17379.0,4797.0,160.0,19.0,455.0,37984.0,18110.0,3596.0,8934.0,8929.0,7954.0,975.0,96300.0,610.0,7078.0,1907.0,916.0,549.0,64.0,77.0,7773.0,39.0,21101.0,10799.0,748.0,7078.0,5344.0,1734.0,01,007,2014-12-31
