NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,year
Alabama,4817678.0,38.2,36.7,39.6,3327891.0,1269808.0,25181.0,58322.0,191838.0,43511.0,23936.0,889710.0,2253005.0,2239169.0,2010453.0,228716.0,123800.0,715.0,1842174.0,348464.0,465268.0,196935.0,47795.0,31815.0,1983227.0,8943.0,4735953.0,2276827.0,184322.0,1842174.0,1240382.0,601792.0,01,2014-12-31
Alaska,728300.0,33.4,33.1,33.8,484195.0,25148.0,102743.0,40976.0,45247.0,71829.0,33129.0,71866.0,396856.0,380080.0,347983.0,32097.0,246300.0,1131.0,251678.0,56142.0,82261.0,32681.0,7370.0,5126.0,353493.0,5617.0,704405.0,359808.0,33519.0,251678.0,168552.0,83126.0,02,2014-12-31
Arizona,6561516.0,36.5,35.3,37.8,5174082.0,274380.0,290780.0,191071.0,1977026.0,49928.0,25537.0,1169309.0,3076534.0,3059049.0,2754982.0,304067.0,162900.0,905.0,2387246.0,487302.0,733845.0,306410.0,71569.0,49252.0,2720076.0,55040.0,6453706.0,3168304.0,270326.0,2387246.0,1569399.0,817847.0,04,2014-12-31
Arkansas,2947036.0,37.6,36.2,38.9,2306073.0,458136.0,18337.0,38409.0,198109.0,41264.0,22595.0,549303.0,1372077.0,1366807.0,1251717.0,115090.0,108700.0,675.0,1132488.0,196651.0,263299.0,98442.0,24187.0,16663.0,1232572.0,5173.0,2893883.0,1411996.0,120394.0,1132488.0,761579.0,370909.0,05,2014-12-31
California,38066920.0,35.6,34.5,36.8,23650913.0,2262323.0,287360.0,5130536.0,14534449.0,61489.0,29906.0,6115244.0,19108876.0,18975006.0,16890442.0,2084564.0,371400.0,1243.0,12617280.0,1164649.0,4870524.0,1889640.0,575093.0,373652.0,16529777.0,859372.0,37551064.0,18509352.0,1550499.0,12617280.0,8666286.0,3950994.0,06,2014-12-31
Colorado,5197580.0,36.2,35.3,37.3,4364911.0,209062.0,49917.0,146561.0,1088602.0,59448.0,31674.0,663861.0,2811701.0,2779944.0,2560703.0,219241.0,239400.0,969.0,1998314.0,240310.0,819675.0,344986.0,73307.0,55716.0,2544021.0,82367.0,5105164.0,2536391.0,209242.0,1998314.0,1282425.0,715889.0,08,2014-12-31
Delaware,917060.0,39.1,37.7,40.4,639354.0,198028.0,3134.0,31745.0,78598.0,60231.0,30191.0,107101.0,469071.0,465922.0,426103.0,39819.0,232900.0,1012.0,339046.0,72204.0,108647.0,52733.0,11146.0,10238.0,419999.0,13128.0,902268.0,433324.0,34324.0,339046.0,227841.0,111205.0,10,2014-12-31
District of Columbia,633736.0,33.7,33.5,33.9,254955.0,314138.0,2072.0,22785.0,62637.0,69235.0,46502.0,109378.0,367510.0,364334.0,325838.0,38496.0,454500.0,1302.0,267415.0,33383.0,103179.0,79033.0,37053.0,17109.0,323242.0,122975.0,623129.0,292088.0,22918.0,267415.0,113596.0,153819.0,11,2014-12-31
Connecticut,3592053.0,40.3,38.7,41.6,2789105.0,365871.0,8036.0,145842.0,512795.0,69899.0,38480.0,364740.0,1962119.0,1953521.0,1766934.0,186587.0,274500.0,1069.0,1356206.0,134175.0,506662.0,290414.0,71488.0,39987.0,1734798.0,81585.0,3535851.0,1716015.0,119926.0,1356206.0,899557.0,456649.0,09,2014-12-31
Florida,19361792.0,41.2,39.8,42.7,14747196.0,3114841.0,59121.0,490833.0,4517191.0,47212.0,26499.0,3159259.0,9415088.0,9359928.0,8335023.0,1024905.0,156200.0,998.0,7217508.0,1834343.0,2324792.0,889974.0,267663.0,146998.0,8228557.0,171909.0,19049447.0,9227917.0,662797.0,7217508.0,4650162.0,2567346.0,12,2014-12-31
