NAME_Geographic Area Name,B01001_001E_Total Population,B01002_001E_Median Age,B01002_002E_Median Age (Male),B01002_003E_Median Age (Female),B02001_002E_White Population,B02001_003E_Black Population,B02001_004E_American Indian Population,B02001_005E_Asian Population,B03003_003E_Hispanic or Latino Population,B19013_001E_Median Household Income,B19301_001E_Per Capita Income,B17001_002E_Population Below Poverty Level,B23025_002E_Total Labor Force,B23025_003E_Labor Force - Employed,B23025_004E_Labor Force - Unemployed,B23025_005E_Not in Labor Force,B25077_001E_Median Home Value,B25064_001E_Median Gross Rent,B25002_002E_Occupied Housing Units,B25002_003E_Vacant Housing Units,B15003_022E_Bachelor's Degree,B15003_023E_Master's Degree,B15003_024E_Professional Degree,B15003_025E_Doctorate Degree,B08301_001E_Total Commuters,B08301_010E_Public Transportation Commuters,B27001_001E_Total Healthcare Coverage,B27001_002E_With Health Insurance,B27001_003E_No Health Insurance,B11001_001E_Total Households,B11001_002E_Family Households,B11001_007E_Non-family Households,state,year
Alabama,4876250.0,39.0,37.5,40.5,3320247.0,1299048.0,25565.0,66270.0,208626.0,50536.0,27928.0,795989.0,2242785.0,2229479.0,2097384.0,132095.0,142700.0,792.0,1867893.0,387133.0,529178.0,230528.0,50270.0,35796.0,2073072.0,6927.0,4797215.0,2303075.0,177643.0,1867893.0,1227508.0,640385.0,01,2019-12-31
Alaska,737068.0,34.3,33.8,34.9,476015.0,24205.0,109751.0,45920.0,51870.0,77640.0,36787.0,76933.0,392338.0,374582.0,347774.0,26808.0,270400.0,1244.0,253346.0,63555.0,88058.0,37958.0,10373.0,5630.0,356400.0,4640.0,712356.0,364368.0,32384.0,253346.0,166325.0,87021.0,02,2019-12-31
Arizona,7050299.0,37.7,36.3,39.0,5444453.0,317462.0,317414.0,233213.0,2208663.0,58945.0,30694.0,1043764.0,3346155.0,3326563.0,3130658.0,195905.0,225500.0,1052.0,2571268.0,432018.0,869452.0,378467.0,86371.0,60236.0,3094170.0,55922.0,6941028.0,3412752.0,262724.0,2571268.0,1679198.0,892070.0,04,2019-12-31
Arkansas,2999370.0,38.1,36.8,39.5,2301044.0,459542.0,20434.0,45504.0,224130.0,47597.0,26577.0,496260.0,1378722.0,1373971.0,1303490.0,70481.0,127800.0,745.0,1158071.0,212210.0,297250.0,119000.0,27707.0,19279.0,1287774.0,4579.0,2945234.0,1434920.0,115831.0,1158071.0,765440.0,392631.0,05,2019-12-31
California,39283497.0,36.5,35.4,37.7,23453222.0,2274108.0,303998.0,5692423.0,15327688.0,75235.0,36955.0,5149742.0,19921547.0,19790474.0,18591241.0,1199233.0,505000.0,1503.0,13044266.0,1131710.0,5603047.0,2294771.0,645797.0,437111.0,18191555.0,923834.0,38787337.0,19138665.0,1498422.0,13044266.0,8958436.0,4085830.0,06,2019-12-31
Colorado,5610349.0,36.7,35.8,37.8,4712574.0,233647.0,54847.0,178147.0,1208172.0,72331.0,38226.0,565873.0,3069631.0,3035960.0,2904589.0,131371.0,343300.0,1271.0,2148994.0,237481.0,981017.0,428252.0,90525.0,65340.0,2886239.0,87734.0,5516337.0,2751113.0,205686.0,2148994.0,1369378.0,779616.0,08,2019-12-31
Delaware,957248.0,40.6,38.8,42.4,658237.0,212302.0,3729.0,37009.0,88364.0,68287.0,35450.0,109400.0,485533.0,482101.0,455620.0,26481.0,251100.0,1130.0,363322.0,69873.0,124632.0,64883.0,12849.0,11774.0,450308.0,11458.0,942219.0,451954.0,32683.0,363322.0,240038.0,123284.0,10,2019-12-31
District of Columbia,692683.0,34.0,33.9,34.2,285857.0,320811.0,2091.0,27592.0,76191.0,86420.0,56147.0,107140.0,407904.0,404838.0,376871.0,27967.0,601500.0,1541.0,284386.0,30790.0,122380.0,104526.0,41447.0,20906.0,373844.0,129713.0,682728.0,321051.0,26974.0,284386.0,123683.0,160703.0,11,2019-12-31
Connecticut,3575074.0,41.0,39.2,42.7,2714031.0,383416.0,9955.0,161257.0,574240.0,78444.0,44496.0,344146.0,1940825.0,1932092.0,1815636.0,116456.0,275400.0,1180.0,1370746.0,145883.0,541380.0,315473.0,76404.0,42208.0,1786592.0,83525.0,3524580.0,1711470.0,112990.0,1370746.0,893438.0,477308.0,09,2019-12-31
Florida,20901636.0,42.0,40.5,43.6,15702256.0,3359031.0,59320.0,571276.0,5346684.0,55660.0,31619.0,2870487.0,10116026.0,10056801.0,9495353.0,561448.0,215300.0,1175.0,7736311.0,1711848.0,2827938.0,1138820.0,328745.0,176198.0,9383111.0,170350.0,20588432.0,9982245.0,688488.0,7736311.0,4996650.0,2739661.0,12,2019-12-31
Georgia,10403847.0,36.7,35.4,38.0,6098889.0,3289020.0,37440.0,414481.0,992394.0,58700.0,31067.0,1528558.0,5174538.0,5125182.0,4834622.0,290560.0,176000.0,1006.0,3758798.0,524679.0,1324801.0,590536.0,149171.0,93108.0,4781201.0,100374.0,10213659.0,4910068.0,402045.0,3758798.0,2524982.0,1233816.0,13,2019-12-31
Idaho,1717750.0,36.4,35.6,37.2,1545409.0,11918.0,23136.0,24287.0,215476.0,55785.0,27970.0,221256.0,832286.0,828116.0,792237.0,35879.0,212300.0,853.0,630008.0,93586.0,207179.0,69784.0,16921.0,13653.0,781670.0,5681.0,1696068.0,845093.0,70310.0,630008.0,425705.0,204303.0,16,2019-12-31
Hawaii,1422094.0,39.1,37.6,40.6,354847.0,26025.0,3710.0,537355.0,149118.0,81275.0,35567.0,130649.0,752064.0,710527.0,680258.0,30269.0,615300.0,1617.0,459424.0,83250.0,215777.0,74614.0,22900.0,14175.0,704850.0,43590.0,1369339.0,670098.0,54951.0,459424.0,319348.0,140076.0,15,2019-12-31
Illinois,12770631.0,38.1,36.8,39.4,9134903.0,1813590.0,33460.0,698524.0,2186387.0,65886.0,36038.0,1557873.0,6663517.0,6645843.0,6250862.0,394981.0,194500.0,1010.0,4846134.0,514181.0,1831438.0,862440.0,199455.0,116692.0,6151965.0,581552.0,12591483.0,6152796.0,469710.0,4846134.0,3109762.0,1736372.0,17,2019-12-31
Indiana,6665703.0,37.7,36.4,39.0,5553391.0,626587.0,15782.0,151979.0,461850.0,56303.0,29777.0,867996.0,3367521.0,3363860.0,3202509.0,161351.0,141700.0,826.0,2570419.0,316129.0,749078.0,311229.0,64915.0,46934.0,3146465.0,31236.0,6566575.0,3220574.0,256643.0,2570419.0,1663199.0,907220.0,18,2019-12-31
Iowa,3139508.0,38.2,37.0,39.4,2826070.0,116359.0,11976.0,75741.0,188311.0,60523.0,32176.0,348122.0,1678141.0,1676475.0,1613902.0,62573.0,147800.0,789.0,1265473.0,131614.0,403801.0,135213.0,34033.0,24784.0,1587322.0,17109.0,3096125.0,1533989.0,121106.0,1265473.0,802826.0,462647.0,19,2019-12-31
Kansas,2910652.0,36.7,35.4,38.0,2455935.0,170291.0,24010.0,85794.0,345680.0,59597.0,31814.0,337739.0,1519790.0,1501455.0,1440453.0,61002.0,151900.0,850.0,1129227.0,144070.0,400938.0,173172.0,37218.0,23742.0,1435438.0,6908.0,2851091.0,1408088.0,116863.0,1129227.0,731014.0,398213.0,20,2019-12-31
Kentucky,4449052.0,38.9,37.5,40.3,3868479.0,358928.0,9386.0,65191.0,162994.0,50589.0,28178.0,747010.0,2109169.0,2095422.0,1978477.0,116945.0,141000.0,763.0,1734618.0,249331.0,428846.0,216508.0,55258.0,30470.0,1949184.0,19887.0,4366510.0,2133721.0,169010.0,1734618.0,1135835.0,598783.0,21,2019-12-31
